Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034647153,84829585207057,-0.10538086,4.167334,9.239985
android.sensor.accelerometer,1539034647167,84829605148433,-0.09580079,4.1625443,9.359736
android.sensor.accelerometer,1539034647185,84829625091546,-0.033530276,4.148174,9.460327
android.sensor.accelerometer,1539034647205,84829645032922,-0.028740235,4.152964,9.460327
android.sensor.accelerometer,1539034647225,84829664974426,-0.07664063,4.157754,9.455538
android.sensor.accelerometer,1539034647245,84829684915802,-0.038320314,4.157754,9.321417
android.sensor.accelerometer,1539034647265,84829704857178,-0.06227051,4.157754,9.235196
android.sensor.accelerometer,1539034647285,84829724800614,-0.019160157,4.152964,9.211246
android.sensor.accelerometer,1539034647305,84829744739209,0.0,4.138594,9.311836
android.sensor.accelerometer,1539034647325,84829764680585,0.0047900393,4.152964,9.292676
android.sensor.accelerometer,1539034647344,84829784622089,-0.028740235,4.119434,9.249566
android.sensor.accelerometer,1539034647364,84829804563465,-0.033530276,4.138594,9.326206
android.sensor.accelerometer,1539034647384,84829824500885,-0.043110352,4.157754,9.398057
android.sensor.accelerometer,1539034647404,84829844442261,-0.043110352,4.157754,9.326206
android.sensor.accelerometer,1539034647424,84829864383637,-0.033530276,4.148174,9.259146
android.sensor.accelerometer,1539034647444,84829884325013,0.009580079,4.181704,9.374106
android.sensor.accelerometer,1539034647464,84829904266389,-0.0047900393,4.2008643,9.374106
android.sensor.accelerometer,1539034647484,84829924209507,-0.009580079,4.191284,9.230406
android.sensor.accelerometer,1539034647504,84829944150883,-0.028740235,4.152964,9.172925
android.sensor.accelerometer,1539034647524,84829964092259,-0.06227051,4.119434,9.354947
android.sensor.accelerometer,1539034647544,84829984033507,-0.05748047,4.138594,9.441168
android.sensor.accelerometer,1539034647564,84830003974883,-0.038320314,4.143384,9.426797
android.sensor.accelerometer,1539034647584,84830023921659,-0.05748047,4.1721244,9.321417
android.sensor.accelerometer,1539034647604,84830043863035,-0.05269043,4.148174,9.216036
android.sensor.accelerometer,1539034647623,84830063804539,-0.07185059,4.191284,9.268726
android.sensor.accelerometer,1539034647643,84830083745915,-0.033530276,4.1960745,9.354947
android.sensor.accelerometer,1539034647663,84830103687419,-0.081430666,4.1960745,9.3309965
android.sensor.accelerometer,1539034647683,84830123631946,-0.16286133,4.2439747,9.1202345
android.sensor.accelerometer,1539034647703,84830143573578,-0.5987549,4.502637,9.163345
android.sensor.accelerometer,1539034647723,84830163515082,-0.60354495,4.5888577,9.977652
android.sensor.accelerometer,1539034647743,84830183456586,-0.9388477,4.727769,9.340576
android.sensor.accelerometer,1539034647763,84830203398090,-0.43110353,4.5074267,7.9562554
android.sensor.accelerometer,1539034647783,84830223342958,-0.20597169,4.526587,8.684341
android.sensor.accelerometer,1539034647803,84830243284462,-0.009580079,4.4834766,10.159674
android.sensor.accelerometer,1539034647823,84830263226094,0.2203418,4.267925,10.451866
