Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034420782,84603180486845,1.3986914,6.864126,6.4090724
android.sensor.accelerometer,1539034420783,84603200426173,1.2358302,6.9886675,6.6342044
android.sensor.accelerometer,1539034420783,84603220365501,1.0298585,7.089258,7.074888
android.sensor.accelerometer,1539034420834,84603240304518,0.92926764,7.1275783,7.199429
android.sensor.accelerometer,1539034420834,84603260243846,1.2166699,7.0413575,7.32397
android.sensor.accelerometer,1539034420840,84603280183174,1.2406201,6.9934573,7.7167535
android.sensor.accelerometer,1539034420860,84603300122502,0.8861573,6.950347,7.817344
android.sensor.accelerometer,1539034420881,84603320061830,0.7376661,6.950347,7.893985
android.sensor.accelerometer,1539034420901,84603339998950,0.852627,6.935977,7.8269243
android.sensor.accelerometer,1539034420921,84603359938278,1.0011182,6.912027,7.7407036
android.sensor.accelerometer,1539034420941,84603379877478,1.1927198,6.8737063,7.788604
android.sensor.accelerometer,1539034420962,84603399816806,1.336421,6.854546,7.788604
android.sensor.accelerometer,1539034420981,84603419756006,1.1448194,6.945557,7.7502837
android.sensor.accelerometer,1539034421001,84603439693938,0.6993457,7.046148,7.472461
android.sensor.accelerometer,1539034421024,84603459633138,0.5508545,7.103628,7.2281694
android.sensor.accelerometer,1539034421041,84603479572338,0.7711963,7.031778,7.443721
android.sensor.accelerometer,1539034421061,84603499511538,0.82388675,6.964717,8.013736
android.sensor.accelerometer,1539034421082,84603519450866,0.68018556,6.983877,8.57896
android.sensor.accelerometer,1539034421101,84603539392205,0.47900394,6.969507,8.660391
android.sensor.accelerometer,1539034421121,84603559331405,0.12454102,6.9216065,8.195757
android.sensor.accelerometer,1539034421141,84603579270477,-0.4023633,6.7300053,7.697593
android.sensor.accelerometer,1539034421161,84603599209677,-1.0154883,6.4905033,7.031778
android.sensor.accelerometer,1539034421181,84603619148877,-1.5232325,6.236631,6.08814
android.sensor.accelerometer,1539034421201,84603639093014,-1.5328126,5.6522465,5.839058
android.sensor.accelerometer,1539034421221,84603659032342,-0.7664063,4.991221,6.1456203
android.sensor.accelerometer,1539034421241,84603678971542,0.16286133,4.1098537,5.8917484
android.sensor.accelerometer,1539034421261,84603698910870,-0.21555176,3.171006,5.7719975
android.sensor.accelerometer,1539034421281,84603718850198,-2.42376,2.6584718,5.839058
android.sensor.accelerometer,1539034421301,84603738793061,-2.7973828,1.695674,5.518125
android.sensor.accelerometer,1539034421320,84603758732389,-0.6945557,0.74724615,4.7948294
android.sensor.accelerometer,1539034421342,84603778671717,2.5914114,0.3065625,3.3482375
android.sensor.accelerometer,1539034421361,84603798611045,6.1647806,0.244292,1.3939015
android.sensor.accelerometer,1539034421380,84603818550373,9.460327,0.5939649,-1.4034815
android.sensor.accelerometer,1539034421400,84603838492651,11.108101,0.728086,-5.144502
android.sensor.accelerometer,1539034421420,84603858432107,12.118799,0.29698244,-7.7646537
android.sensor.accelerometer,1539034421440,84603878371563,12.722344,-0.081430666,-7.5059915
android.sensor.accelerometer,1539034421460,84603898311019,13.364209,-0.5939649,-5.695357
android.sensor.accelerometer,1539034421480,84603918250347,13.210928,-1.2981006,-4.6942387
android.sensor.accelerometer,1539034421500,84603938192948,12.707974,-2.3135889,-4.8331494
android.sensor.accelerometer,1539034421520,84603958132404,12.23855,-3.65959,-5.1732426
android.sensor.accelerometer,1539034421542,84603978071860,12.066109,-4.8523097,-4.6750784
android.sensor.accelerometer,1539034421560,84603998011316,12.353511,-5.733677,-3.9757326
android.sensor.accelerometer,1539034421579,84604017950772,12.521163,-6.912027,-4.258345
android.sensor.accelerometer,1539034421600,84604037893890,12.506792,-8.612491,-4.976851
android.sensor.accelerometer,1539034421619,84604057833474,12.712764,-10.763218,-4.9529004
android.sensor.accelerometer,1539034421639,84604077773058,12.923526,-13.1438675,-3.2428565
android.sensor.accelerometer,1539034421659,84604097712514,13.651612,-15.505357,-0.3544629
android.sensor.accelerometer,1539034421679,84604117652098,15.241905,-16.889679,3.0033545
android.sensor.accelerometer,1539034421699,84604137589128,17.459694,-17.387842,5.125342
android.sensor.accelerometer,1539034421719,84604157528712,18.671574,-17.794996,5.484595
android.sensor.accelerometer,1539034421739,84604177468168,17.06212,-17.675245,5.604346
android.sensor.accelerometer,1539034421759,84604197407752,14.327007,-17.268091,7.0221977
android.sensor.accelerometer,1539034421779,84604217347336,12.707974,-15.88377,9.048384
android.sensor.accelerometer,1539034421799,84604237294033,12.842095,-14.063556,10.710527
android.sensor.accelerometer,1539034421819,84604257233745,12.937896,-12.022999,12.118799
android.sensor.accelerometer,1539034421839,84604277173457,13.206139,-9.82437,12.248131
android.sensor.accelerometer,1539034421859,84604297111012,13.943805,-7.8604546,10.102193
android.sensor.accelerometer,1539034421879,84604317050724,13.939014,-6.4905033,7.0988383
android.sensor.accelerometer,1539034421899,84604336994032,13.766573,-5.249883,5.144502
android.sensor.accelerometer,1539034421919,84604356933872,14.010865,-4.4595265,3.8368216
android.sensor.accelerometer,1539034421939,84604376873840,14.494658,-3.894302,2.5147705
android.sensor.accelerometer,1539034421959,84604396813680,14.499449,-4.071533,1.2645704
android.sensor.accelerometer,1539034421979,84604416753520,13.766573,-4.497847,0.5221143
android.sensor.accelerometer,1539034421999,84604436700016,11.649376,-5.029541,0.6179151
android.sensor.accelerometer,1539034422019,84604456640112,7.8412943,-5.613926,3.0033545
android.sensor.accelerometer,1539034422039,84604476580208,6.0306597,-5.0726514,6.1887307
android.sensor.accelerometer,1539034422061,84604496520176,5.968389,-3.903882,8.4304695
android.sensor.accelerometer,1539034422079,84604516460272,6.0258694,-2.572251,8.737032
android.sensor.accelerometer,1539034422098,84604536404104,5.345684,-1.710044,7.937095
android.sensor.accelerometer,1539034422118,84604556344200,4.277505,-0.8909473,7.7407036
android.sensor.accelerometer,1539034422138,84604576284296,3.774551,0.14370118,7.7311234
android.sensor.accelerometer,1539034422158,84604596224520,4.502637,1.0298585,6.672525
android.sensor.accelerometer,1539034422178,84604616164616,4.9145803,1.9399658,5.853428
android.sensor.accelerometer,1539034422198,84604636103249,4.87626,2.5099807,5.206773
android.sensor.accelerometer,1539034422219,84604656043345,5.4175344,2.7351124,4.2248144
android.sensor.accelerometer,1539034422238,84604675983441,6.08814,3.420088,2.5147705
