Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539034429142,84611555144189,-0.0035422917,-0.1847417,0.09155559
android.sensor.gyroscope,1539034429142,84611575083517,0.035872497,-0.17408906,0.09475138
android.sensor.gyroscope,1539034429194,84611595022973,0.040666185,-0.12082585,0.085163996
android.sensor.gyroscope,1539034429194,84611614962301,0.017230365,-0.041996278,0.072380826
android.sensor.gyroscope,1539034429195,84611634905621,0.019893525,0.012864842,0.05959765
android.sensor.gyroscope,1539034429215,84611654845077,0.05344936,0.008603784,0.021248126
android.sensor.gyroscope,1539034429234,84611674784533,0.06889569,-0.050518394,-0.012840336
android.sensor.gyroscope,1539034429255,84611694724117,0.04173145,-0.10378162,-0.00911191
android.sensor.gyroscope,1539034429275,84611714663573,0.0017840306,-0.09312897,0.010595482
android.sensor.gyroscope,1539034429297,84611734603692,-0.027510742,-0.07022579,0.010595482
android.sensor.gyroscope,1539034429319,84611754543148,-0.021641,-0.048375893,0.0015376548
android.sensor.gyroscope,1539034429336,84611774482604,0.0081864055,-0.04038641,0.0015376548
android.sensor.gyroscope,1539034429356,84611794422188,0.03961171,-0.06861592,0.015918726
android.sensor.gyroscope,1539034429376,84611814361644,0.087548606,-0.094714895,0.037756644
android.sensor.gyroscope,1539034429396,84611834301313,0.15412764,-0.13679284,0.04894192
android.sensor.gyroscope,1539034429416,84611854240897,0.23082668,-0.15543497,0.050539818
android.sensor.gyroscope,1539034429437,84611874180481,0.31178677,-0.14531496,0.08196512
android.sensor.gyroscope,1539034429456,84611894119937,0.34640786,-0.1426518,0.14694627
android.sensor.gyroscope,1539034429475,84611914059521,0.40606266,-0.0915191,0.26359272
android.sensor.gyroscope,1539034429496,84611934004426,0.5205786,-0.041451674,0.44522032
android.sensor.gyroscope,1539034429516,84611953944010,0.6457472,-0.096845426,0.64655524
android.sensor.gyroscope,1539034429536,84611973883594,0.84814745,-0.17620763,0.84522706
android.sensor.gyroscope,1539034429556,84611993823178,1.0766467,-0.2848646,0.9341767
android.sensor.gyroscope,1539034429575,84612013762890,1.2082068,-0.48247117,0.86813027
android.sensor.gyroscope,1539034429595,84612033710818,1.2604048,-0.6561093,0.79143125
android.sensor.gyroscope,1539034429615,84612053650530,1.1650636,-0.76796204,0.6481531
android.sensor.gyroscope,1539034429635,84612073590370,0.68782514,-0.6635661,0.4255129
android.sensor.gyroscope,1539034429655,84612093530082,-0.3172519,-0.5575723,0.40474024
android.sensor.gyroscope,1539034429675,84612113469922,-1.6120808,-0.80151784,0.75361437
android.sensor.gyroscope,1539034429695,84612133409329,-2.662964,-1.3996639,1.1765244
android.sensor.gyroscope,1539034429715,84612153349169,-3.1780195,-1.9541341,1.2478971
android.sensor.gyroscope,1539034429735,84612173289137,-3.9199762,-1.8630539,1.090238
android.sensor.gyroscope,1539034429760,84612193228977,-5.1173334,-1.2670385,1.0199305
android.sensor.gyroscope,1539034429775,84612213168817,-5.7431765,-0.5735513,1.03804
android.sensor.gyroscope,1539034429793,84612233109210,-5.387378,-0.29391935,0.7701259
android.sensor.gyroscope,1539034429818,84612253049178,-4.6890974,-0.5639639,0.13043466
android.sensor.gyroscope,1539034429833,84612272989146,-4.358858,-0.89418787,-0.3936775
android.sensor.gyroscope,1539034429854,84612292928986,-4.5612583,-0.9895291,-0.56092405
android.sensor.gyroscope,1539034429879,84612312868954,-5.0752482,-0.9399943,-0.44747338
android.sensor.gyroscope,1539034429893,84612332811222,-5.5343776,-1.0369334,-0.32869637
android.sensor.gyroscope,1539034429912,84612352751318,-5.743702,-1.2782158,-0.3702417
android.sensor.gyroscope,1539034429933,84612372691286,-5.769268,-1.409776,-0.49807343
android.sensor.gyroscope,1539034429952,84612392631254,-5.770866,-1.4582455,-0.514585
android.sensor.gyroscope,1539034429972,84612412571350,-5.83638,-1.6595805,-0.52843344
android.sensor.gyroscope,1539034429992,84612432508221,-5.7426367,-1.9274945,-0.6061978
android.sensor.gyroscope,1539034430012,84612452448189,-5.3362384,-2.0318904,-0.7036695
android.sensor.gyroscope,1539034430032,84612472388157,-4.8004103,-1.8662418,-0.8368275
android.sensor.gyroscope,1539034430052,84612492328125,-4.3753695,-1.6191005,-0.98916036
android.sensor.gyroscope,1539034430072,84612512268093,-4.0685735,-1.6883426,-1.2629334
android.sensor.gyroscope,1539034430092,84612532211017,-3.763908,-2.032423,-1.566001
android.sensor.gyroscope,1539034430112,84612552150985,-3.4368718,-2.1165788,-1.7359108
android.sensor.gyroscope,1539034430132,84612572090953,-3.3404653,-1.661711,-1.768934
android.sensor.gyroscope,1539034430152,84612592031049,-3.492798,-0.9868659,-1.7726624
android.sensor.gyroscope,1539034430172,84612611971017,-3.6238256,-0.42919996,-1.9148753
android.sensor.gyroscope,1539034430192,84612631912044,-3.5476592,-0.19377652,-2.1993008
android.sensor.gyroscope,1539034430212,84612651852012,-3.2019808,-0.16767754,-2.4315283
android.sensor.gyroscope,1539034430232,84612671792108,-2.8349972,-0.18312387,-2.520478
android.sensor.gyroscope,1539034430251,84612691732076,-2.8291383,-0.2614208,-2.4443116
android.sensor.gyroscope,1539034430271,84612711672044,-2.9899933,-0.2198755,-2.2317913
android.sensor.gyroscope,1539034430292,84612731611384,-3.0017111,-0.19058073,-2.0485659
android.sensor.gyroscope,1539034430311,84612751551352,-2.608096,-0.27154082,-1.8786563
android.sensor.gyroscope,1539034430331,84612771491320,-2.0482996,-0.23425657,-1.6549507
android.sensor.gyroscope,1539034430352,84612791431288,-1.6302421,-0.027043192,-1.3487161
android.sensor.gyroscope,1539034430373,84612811371256,-1.2052016,0.27229613,-0.9694819
android.sensor.gyroscope,1539034430391,84612831309273,-0.77323693,0.39054048,-0.65576154
android.sensor.gyroscope,1539034430411,84612851249113,-0.4707018,0.27922034,-0.48372135
android.sensor.gyroscope,1539034430431,84612871189081,-0.26244262,0.18654233,-0.401696
android.sensor.gyroscope,1539034430451,84612891128921,-0.081347644,0.15884545,-0.39104334
android.sensor.gyroscope,1539034430471,84612911068889,0.059267256,0.16204125,-0.39796758
android.sensor.gyroscope,1539034430491,84612931007455,0.13170524,0.28720984,-0.32979065
android.sensor.gyroscope,1539034430511,84612950947295,0.14022736,0.46937004,-0.19663258
android.sensor.gyroscope,1539034430531,84612970887263,0.06885464,0.54766697,-0.09276929
android.sensor.gyroscope,1539034430551,84612990827103,-0.01902968,0.51357853,-0.043234494
android.sensor.gyroscope,1539034430571,84613010766943,-0.0019854489,0.46617424,0.007365569
android.sensor.gyroscope,1539034430591,84613030704643,0.047016714,0.44646686,0.08299935
android.sensor.gyroscope,1539034430610,84613050644483,0.079507284,0.3910731,0.11282675
android.sensor.gyroscope,1539034430630,84613070584323,0.05021251,0.3729636,0.090456195
android.sensor.gyroscope,1539034430650,84613090524163,-0.019562311,0.45126057,0.025475064
android.sensor.gyroscope,1539034430670,84613110464003,-0.055781305,0.69627136,-0.0102112945
android.sensor.gyroscope,1539034430690,84613130401934,-0.2608447,1.4456849,0.34931546
android.sensor.gyroscope,1539034430710,84613150341774,-0.6097188,2.446501,0.22308162
android.sensor.gyroscope,1539034430730,84613170281614,-0.62463254,3.1591628,-0.20941575
android.sensor.gyroscope,1539034430750,84613190221454,-0.60865355,3.1756744,-0.24510211
android.sensor.gyroscope,1539034430770,84613210161294,-0.34553322,3.4995148,-0.41128337
android.sensor.gyroscope,1539034430790,84613230102956,-0.4062533,3.4180222,-0.67866474
android.sensor.gyroscope,1539034430810,84613250042924,-0.6075883,3.492058,-0.53432137
android.sensor.gyroscope,1539034430830,84613269982764,-0.7295611,3.7365363,-0.041636597
android.sensor.gyroscope,1539034430850,84613289922604,-0.95113605,4.061442,0.18366683
android.sensor.gyroscope,1539034430870,84613309862444,-0.6368933,4.611107,0.39246157
android.sensor.gyroscope,1539034430891,84613329794567,0.06937708,4.719231,0.6124387
android.sensor.gyroscope,1539034430909,84613349734279,0.5194513,3.711491,0.3493184
android.sensor.gyroscope,1539034430929,84613369673991,0.6339672,3.426,-0.028850513
android.sensor.gyroscope,1539034430949,84613389613703,0.39428273,3.0824523,0.053707484
android.sensor.gyroscope,1539034430969,84613409553415,0.09334553,2.445957,0.17195185
android.sensor.gyroscope,1539034430989,84613429494180,-0.015311444,1.5303621,0.08726331
android.sensor.gyroscope,1539034431009,84613449433892,-0.01903987,0.903454,0.110699125
android.sensor.gyroscope,1539034431029,84613469373604,-0.13408843,0.7857423,0.22468244
android.sensor.gyroscope,1539034431049,84613489313188,-0.30985707,1.3561914,0.27688038
android.sensor.gyroscope,1539034431069,84613509252900,-0.31465074,2.060331,0.21669295
android.sensor.gyroscope,1539034431089,84613529194873,-0.295476,1.8467457,0.10217701
android.sensor.gyroscope,1539034431109,84613549134585,-0.645948,1.7279687,0.17514764
android.sensor.gyroscope,1539034431129,84613569074297,-1.0827063,2.778852,0.48940066
android.sensor.gyroscope,1539034431149,84613589014009,-1.7756609,2.835311,0.79193574
android.sensor.gyroscope,1539034431169,84613608953849,-2.104295,1.9985459,0.7429336
android.sensor.gyroscope,1539034431189,84613628899991,-1.4326458,1.1372796,0.69979036
android.sensor.gyroscope,1539034431209,84613648839959,0.10133501,-0.03504398,0.44945323
android.sensor.gyroscope,1539034431229,84613668779799,1.0685952,-0.6779311,-0.2616108
android.sensor.gyroscope,1539034431249,84613688719767,1.2273196,-0.24596635,-0.63711655
android.sensor.gyroscope,1539034431268,84613708659735,0.81452954,0.92902035,-0.15987803
android.sensor.gyroscope,1539034431289,84613728597368,0.4006743,1.3135809,0.42441952
android.sensor.gyroscope,1539034431311,84613748537208,0.6249125,0.7596433,0.32215413
android.sensor.gyroscope,1539034431331,84613768477048,1.0030814,0.397986,0.11602545
android.sensor.gyroscope,1539034431351,84613788416888,1.0499531,0.3633649,0.1053728
android.sensor.gyroscope,1539034431375,84613808356856,0.9173276,0.3148954,0.08939384
android.sensor.gyroscope,1539034431390,84613828289100,0.5615257,0.11835011,0.10271067
android.sensor.gyroscope,1539034431408,84613848228812,-0.054729823,-0.051026937,0.16396339
android.sensor.gyroscope,1539034431428,84613868168396,-0.36898285,0.059760567,0.20284554
