Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034610075,84792514342593,-2.3998096,2.4525,10.0063925
android.sensor.accelerometer,1539034610094,84792534283713,-1.7435743,2.5818312,9.374106
android.sensor.accelerometer,1539034610114,84792554224900,-1.7723145,2.7590625,9.479487
android.sensor.accelerometer,1539034610134,84792574166020,-1.3891114,2.7686427,9.239985
android.sensor.accelerometer,1539034610154,84792594107268,-0.977168,3.1566358,9.235196
android.sensor.accelerometer,1539034610174,84792614048388,-1.8824854,3.2093263,9.594449
android.sensor.accelerometer,1539034610194,84792633989636,-2.7015822,3.2524366,9.929751
android.sensor.accelerometer,1539034610214,84792653938175,-2.327959,3.2668068,9.532178
android.sensor.accelerometer,1539034610234,84792673879551,-1.2070899,3.300337,8.885523
android.sensor.accelerometer,1539034610254,84792693820799,-0.82388675,3.3099172,9.115445
android.sensor.accelerometer,1539034610275,84792713762175,-1.0154883,3.2524366,9.944121
android.sensor.accelerometer,1539034610293,84792733703551,-1.22146,3.3626075,10.408755
android.sensor.accelerometer,1539034610314,84792753651536,-1.2645704,3.4967287,10.298584
android.sensor.accelerometer,1539034610334,84792773593040,-1.101709,3.5206788,9.623189
android.sensor.accelerometer,1539034610353,84792793534544,-0.91010743,3.4488282,9.048384
android.sensor.accelerometer,1539034610373,84792813475920,-0.9484278,3.4057178,8.981323
android.sensor.accelerometer,1539034610393,84792833417424,-0.86220706,3.410508,9.038804
android.sensor.accelerometer,1539034610413,84792853357240,-0.98195803,3.5206788,9.153765
android.sensor.accelerometer,1539034610433,84792873298744,-1.3220508,3.5925295,9.115445
android.sensor.accelerometer,1539034610453,84792893240120,-1.6813037,3.515889,9.201666
android.sensor.accelerometer,1539034610473,84792913181624,-1.8920655,2.955454,9.273516
android.sensor.accelerometer,1539034610493,84792933123128,-2.44292,1.3891114,9.896221
android.sensor.accelerometer,1539034610513,84792953056653,-3.2524366,-0.8286768,10.796748
android.sensor.accelerometer,1539034610533,84792972997901,-3.7074904,-3.0416749,12.506792
android.sensor.accelerometer,1539034610553,84792992939277,-3.788921,-4.5792775,14.62399
android.sensor.accelerometer,1539034610572,84793012880525,-3.7985013,-5.623506,16.391514
android.sensor.accelerometer,1539034610592,84793032821901,-3.5254688,-6.327642,18.068027
android.sensor.accelerometer,1539034610612,84793052765386,-2.936294,-6.6102543,18.087189
android.sensor.accelerometer,1539034610632,84793072706762,-2.567461,-6.591094,15.87419
android.sensor.accelerometer,1539034610652,84793092648138,-2.9698243,-6.3084817,13.493541
android.sensor.accelerometer,1539034610674,84793112589514,-4.2008643,-5.8198977,13.642032
android.sensor.accelerometer,1539034610694,84793132530890,-4.5074267,-4.9241605,13.163028
android.sensor.accelerometer,1539034610715,84793152468261,-5.733677,-4.7086086,12.449312
android.sensor.accelerometer,1539034610733,84793172409509,-7.3575,-5.872588,14.307847
android.sensor.accelerometer,1539034610754,84793192350757,-6.5048733,-7.5059915,14.67189
android.sensor.accelerometer,1539034610776,84793212292133,-5.949229,-8.387359,15.083834
android.sensor.accelerometer,1539034610794,84793232233381,-5.221143,-8.406519,18.853594
android.sensor.accelerometer,1539034610814,84793252171586,-2.7973828,-9.522598,24.108267
android.sensor.accelerometer,1539034610834,84793272112706,0.32572266,-11.749967,23.23648
android.sensor.accelerometer,1539034610854,84793292053954,2.7686427,-13.37858,16.381935
android.sensor.accelerometer,1539034610874,84793311995202,2.44771,-14.025235,11.261382
android.sensor.accelerometer,1539034610894,84793331936450,1.2502003,-14.978453,8.195757
android.sensor.accelerometer,1539034610914,84793351876765,0.0047900393,-16.238234,5.585186
android.sensor.accelerometer,1539034610934,84793371818013,-0.60354495,-18.26442,3.0129347
android.sensor.accelerometer,1539034610954,84793391759133,3.3147073,-17.25851,-7.4916215
android.sensor.accelerometer,1539034610974,84793411700381,4.2343946,-14.413228,-12.894786
android.sensor.accelerometer,1539034610994,84793431641629,3.0129347,-15.735279,-6.495293
android.sensor.accelerometer,1539034611013,84793451577470,0.8143067,-19.011665,-5.733677
android.sensor.accelerometer,1539034611034,84793471518590,2.9889846,-18.513502,-20.55885
android.sensor.accelerometer,1539034611053,84793491459710,9.455538,-15.122154,-29.875475
