Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539034610075,84792514342593,0.060108427,0.4977211,0.64412767
android.sensor.gyroscope,1539034610094,84792534283713,0.13361168,0.39705363,0.669694
android.sensor.gyroscope,1539034610114,84792554224900,0.124024294,0.3304746,0.5951255
android.sensor.gyroscope,1539034610134,84792574166020,0.13787274,0.21862182,0.5269486
android.sensor.gyroscope,1539034610154,84792594107268,0.09366425,0.0029057662,0.3943231
android.sensor.gyroscope,1539034610174,84792614048388,0.050521046,-0.08817434,0.20683658
android.sensor.gyroscope,1539034610194,84792633989636,0.06863054,-0.0050837174,0.2201524
android.sensor.gyroscope,1539034610214,84792653938175,0.10911059,0.062027942,0.3277441
android.sensor.gyroscope,1539034610234,84792673879551,0.07768529,0.067886904,0.36183256
android.sensor.gyroscope,1539034610254,84792693820799,-0.045343753,0.054581076,0.25423828
android.sensor.gyroscope,1539034610275,84792713762175,-0.11618385,-0.045021147,0.08060017
android.sensor.gyroscope,1539034610293,84792733703551,-0.059724823,-0.20747398,-0.05894947
android.sensor.gyroscope,1539034610314,84792753651536,0.040410034,-0.21546347,-0.13564852
android.sensor.gyroscope,1539034610334,84792773593040,0.09473852,-0.12544861,-0.19796649
android.sensor.gyroscope,1539034610353,84792793534544,0.040410034,-0.05833696,-0.27839395
android.sensor.gyroscope,1539034610373,84792813475920,-0.07197537,-0.08709909,-0.3934425
android.sensor.gyroscope,1539034610393,84792833417424,-0.17051232,-0.16486341,-0.49144685
android.sensor.gyroscope,1539034610413,84792853357240,-0.26745138,-0.17445078,-0.5958427
android.sensor.gyroscope,1539034610433,84792873298744,-0.37770626,-0.10627385,-0.71195656
android.sensor.gyroscope,1539034610453,84792893240120,-0.5401591,0.002383119,-0.82221144
android.sensor.gyroscope,1539034610473,84792913181624,-0.7761152,0.11796431,-0.9606958
android.sensor.gyroscope,1539034610493,84792933123128,-1.1201955,0.17921701,-1.1838688
android.sensor.gyroscope,1539034610513,84792953056653,-1.5042233,0.17016226,-1.4342059
android.sensor.gyroscope,1539034610533,84792972997901,-1.8589565,0.100387454,-1.4906648
android.sensor.gyroscope,1539034610553,84792992939277,-2.0384536,0.25751397,-1.2722857
android.sensor.gyroscope,1539034610572,84793012880525,-1.9803966,0.81890833,-0.8957147
android.sensor.gyroscope,1539034610592,84793032821901,-1.6991668,1.550745,-0.51328474
android.sensor.gyroscope,1539034610613,84793052765386,-1.139903,2.0684633,-0.24377285
android.sensor.gyroscope,1539034610632,84793072706762,-0.573715,2.219731,-0.14310536
android.sensor.gyroscope,1539034610652,84793092648138,-0.3105946,2.2623415,-0.08717898
android.sensor.gyroscope,1539034610674,84793112589514,-0.34628096,2.0274508,0.05077277
android.sensor.gyroscope,1539034610694,84793132530890,-0.34947675,1.2013383,0.31868678
android.sensor.gyroscope,1539034610715,84793152468261,-0.47677585,0.84713787,0.758641
android.sensor.gyroscope,1539034610734,84793172409509,-0.6578708,1.2817657,1.6390821
android.sensor.gyroscope,1539034610754,84793192350757,-0.46825373,1.6103998,2.7602727
android.sensor.gyroscope,1539034610776,84793212292133,-0.13802776,1.706267,3.7770696
android.sensor.gyroscope,1539034610794,84793232233381,0.3573202,1.9214504,4.7677655
android.sensor.gyroscope,1539034610814,84793252171586,1.5557426,1.9827031,5.58003
android.sensor.gyroscope,1539034610834,84793272112706,3.726219,1.7110606,5.857531
android.sensor.gyroscope,1539034610854,84793292053954,5.8705964,1.7355617,5.5981393
android.sensor.gyroscope,1539034610874,84793311995202,7.1190867,1.8793725,5.0852146
android.sensor.gyroscope,1539034610894,84793331936450,7.909513,1.4458098,4.751254
android.sensor.gyroscope,1539034610914,84793351876765,8.634958,0.81677115,4.560039
android.sensor.gyroscope,1539034610934,84793371818013,9.306074,0.3336737,4.5089064
android.sensor.gyroscope,1539034610954,84793391759133,9.754018,0.74646366,4.7299485
android.sensor.gyroscope,1539034610974,84793411700381,8.784628,1.6822985,4.707578
android.sensor.gyroscope,1539034610994,84793431641629,7.5292134,1.9656589,4.5872035
android.sensor.gyroscope,1539034611013,84793451577470,7.909513,0.31822735,4.4130325
android.sensor.gyroscope,1539034611034,84793471518590,8.881034,-1.4527748,4.2202196
android.sensor.gyroscope,1539034611053,84793491459710,7.8013883,-0.16806585,4.1248784
android.sensor.gyroscope,1539034611073,84793511400830,5.4753833,2.1824403,3.8282022
android.sensor.gyroscope,1539034611094,84793531341876,3.8966613,2.336371,3.2955701
android.sensor.gyroscope,1539034611114,84793551286817,3.2100983,0.7656384,2.4630659
android.sensor.gyroscope,1539034611134,84793571228065,1.6409638,0.8790891,1.1234958
android.sensor.gyroscope,1539034611153,84793591169185,-0.03469711,2.172853,-0.4200724
android.sensor.gyroscope,1539034611174,84793611110305,-0.3516133,2.5915017,-1.2099661
android.sensor.gyroscope,1539034611194,84793631051553,-0.023511834,1.6055994,-0.89518034
android.sensor.gyroscope,1539034611215,84793650989814,0.008978732,0.798129,-0.48079246
android.sensor.gyroscope,1539034611233,84793670930934,-0.17797518,0.7640405,-0.5851884
android.sensor.gyroscope,1539034611252,84793690872182,-0.34948277,1.1901463,-0.7817297
android.sensor.gyroscope,1539034611273,84793710813302,-0.33616698,1.1501989,-0.49251038
android.sensor.gyroscope,1539034611294,84793730754422,-0.057055064,0.28415287,-0.054157667
android.sensor.gyroscope,1539034611313,84793750691366,0.19914104,-0.13130024,-0.04297239
android.sensor.gyroscope,1539034611333,84793770632358,0.19967368,0.32729608,-0.2613516
android.sensor.gyroscope,1539034611353,84793790573350,0.08728827,0.8290357,-0.43392444
android.sensor.gyroscope,1539034611373,84793810514470,-0.03894557,1.0612633,-0.3305938
android.sensor.gyroscope,1539034611393,84793830455462,-0.24347633,1.2423582,0.028932959
android.sensor.gyroscope,1539034611413,84793850393338,-0.49115035,1.4373016,0.18126579
android.sensor.gyroscope,1539034611432,84793870334330,-0.5859589,1.5635355,0.09977305
android.sensor.gyroscope,1539034611453,84793890275194,-0.4788998,1.5784491,0.04810772
android.sensor.gyroscope,1539034611472,84793910216058,-0.2940764,1.4516827,0.04810772
android.sensor.gyroscope,1539034611492,84793930156922,-0.19873524,1.1539413,0.06248879
android.sensor.gyroscope,1539034611512,84793950097359,-0.1950068,0.9052021,0.09338146
android.sensor.gyroscope,1539034611532,84793970038095,-0.23175843,0.7070629,0.06728248
android.sensor.gyroscope,1539034611552,84793989978959,-0.280228,0.6553976,0.035324547
android.sensor.gyroscope,1539034611572,84794009919823,-0.32230592,0.7049324,0.028400328
android.sensor.gyroscope,1539034611592,84794029860559,-0.2823585,0.6308965,0.026802432
android.sensor.gyroscope,1539034611612,84794049805135,-0.21737736,0.6191786,0.004431878
android.sensor.gyroscope,1539034611632,84794069746127,-0.23655212,0.7523366,-0.0216671
android.sensor.gyroscope,1539034611652,84794089686991,-0.23921528,0.5435448,-0.06853874
android.sensor.gyroscope,1539034611672,84794109627855,-0.033619247,-0.12916972,-0.15003146
android.sensor.gyroscope,1539034611692,84794129568719,0.26891586,-0.54249233,-0.17027149
android.sensor.gyroscope,1539034611710,84794149507163,0.28809062,-0.45993435,-0.12020406
android.sensor.gyroscope,1539034611729,84794169448027,-0.41711447,-0.34222263,-0.027526055
android.sensor.gyroscope,1539034611749,84794189388891,-0.8016749,0.049794707,0.008160303
android.sensor.gyroscope,1539034611769,84794209329755,-0.5587946,0.40399513,0.054499306
