Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034542684,84725114147122,7.1084185,6.9168167,2.8261232
android.sensor.accelerometer,1539034542699,84725134080664,7.0126176,6.8928666,3.0895753
android.sensor.accelerometer,1539034542714,84725154021144,7.0078273,6.8737063,3.1853762
android.sensor.accelerometer,1539034542734,84725173961496,6.8114357,6.864126,3.151846
android.sensor.accelerometer,1539034542754,84725193901976,6.792276,6.8689165,3.1087356
android.sensor.accelerometer,1539034542774,84725213842328,6.974297,6.8497562,3.1614258
android.sensor.accelerometer,1539034542794,84725233780717,7.0126176,6.825806,3.1997461
android.sensor.accelerometer,1539034542814,84725253721069,6.9886675,6.9168167,2.9746144
android.sensor.accelerometer,1539034542833,84725273661293,7.0126176,6.998247,2.6393116
android.sensor.accelerometer,1539034542854,84725293601645,6.950347,6.9934573,2.4333398
android.sensor.accelerometer,1539034542873,84725313541869,7.074888,6.9790874,2.5243506
android.sensor.accelerometer,1539034542893,84725333473308,7.117998,7.031778,2.6201515
android.sensor.accelerometer,1539034542913,84725353413532,7.3766603,7.1419487,2.6297317
android.sensor.accelerometer,1539034542933,84725373353628,7.424561,7.2185893,2.2465284
android.sensor.accelerometer,1539034542953,84725393293852,7.9562554,7.32876,1.7675245
android.sensor.accelerometer,1539034542973,84725413233948,8.780142,8.013736,1.4322218
android.sensor.accelerometer,1539034542993,84725433170539,9.134604,8.243657,0.98195803
android.sensor.accelerometer,1539034543013,84725453110635,8.066426,7.568262,-0.6179151
android.sensor.accelerometer,1539034543033,84725473050603,5.743257,7.1611085,-0.244292
android.sensor.accelerometer,1539034543053,84725492990699,4.8379397,6.346802,1.346001
android.sensor.accelerometer,1539034543073,84725512930667,5.005591,5.8965383,3.1901662
android.sensor.accelerometer,1539034543093,84725532876236,4.790039,5.977969,3.6068995
android.sensor.accelerometer,1539034543113,84725552816460,4.4834766,5.8821683,2.2129982
android.sensor.accelerometer,1539034543133,84725572756556,3.9901028,5.633086,0.68018556
