Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539034478766,84661206106605,0.044175904,0.011110708,0.027581789
android.sensor.gyroscope,1539034478786,84661226047213,0.058556974,0.0473297,0.03503864
android.sensor.gyroscope,1539034478805,84661245987821,0.13419075,-0.0815673,-0.018757215
android.sensor.gyroscope,1539034478826,84661265928429,0.14271286,-0.115655765,-0.048051987
android.sensor.gyroscope,1539034478846,84661285864252,0.0921128,-0.03149987,-0.027811963
android.sensor.gyroscope,1539034478865,84661305804732,0.0921128,0.051590756,0.009472293
android.sensor.gyroscope,1539034478885,84661325745212,0.14803919,0.022295985,0.02332073
android.sensor.gyroscope,1539034478905,84661345685692,0.17680132,-0.09701364,-0.02727933
android.sensor.gyroscope,1539034478925,84661365626300,0.13791917,-0.18809375,-0.07042254
android.sensor.gyroscope,1539034478945,84661385561830,0.07986226,-0.20140955,-0.056574102
android.sensor.gyroscope,1539034478965,84661405502182,0.08199279,-0.19342007,-0.049649883
android.sensor.gyroscope,1539034478985,84661425442534,0.13099496,-0.3031423,-0.12794682
android.sensor.gyroscope,1539034479005,84661445382886,0.13312548,-0.5486858,-0.30478072
android.sensor.gyroscope,1539034479025,84661465323238,0.08359069,-0.8416335,-0.52422523
android.sensor.gyroscope,1539034479045,84661485261170,0.013815867,-1.1809201,-0.7687034
android.sensor.gyroscope,1539034479065,84661505201394,0.013815867,-1.827003,-1.1234365
android.sensor.gyroscope,1539034479086,84661525141618,0.17788218,-2.5657468,-1.5655257
android.sensor.gyroscope,1539034479106,84661545081842,0.46497095,-2.865086,-2.2014885
android.sensor.gyroscope,1539034479125,84661565022066,0.5587142,-2.7814627,-2.959424
android.sensor.gyroscope,1539034479145,84661584961640,0.31583393,-2.5023634,-2.9748704
android.sensor.gyroscope,1539034479165,84661604901864,-0.052214947,-2.0213966,-2.2062821
android.sensor.gyroscope,1539034479185,84661624842216,-0.21626568,-1.432838,-1.415856
android.sensor.gyroscope,1539034479204,84661644782440,-0.17631826,-0.96145844,-0.890148
android.sensor.gyroscope,1539034479224,84661664722664,-0.20721093,-0.6722392,-0.5141096
android.sensor.gyroscope,1539034479244,84661684663601,-0.41280696,-0.65572757,-0.17269239
android.sensor.gyroscope,1539034479265,84661704603825,-0.65515465,-0.72337186,0.2816429
android.sensor.gyroscope,1539034479285,84661724544049,-0.93159074,-0.52470005,0.91387737
android.sensor.gyroscope,1539034479304,84661744484273,-1.2804649,-0.059179455,1.4092253
android.sensor.gyroscope,1539034479324,84661764424497,-1.61336,0.44149482,1.5919181
android.sensor.gyroscope,1539034479344,84661784362630,-1.665558,0.5677287,1.4534338
android.sensor.gyroscope,1539034479364,84661804302726,-1.2666165,0.16133028,1.3042967
android.sensor.gyroscope,1539034479384,84661824242822,-0.6556873,-0.25199232,1.3841916
android.sensor.gyroscope,1539034479404,84661844183046,-0.22798358,-0.15292273,1.7053689
android.sensor.gyroscope,1539034479424,84661864123142,0.03300621,0.18210293,2.0739505
android.sensor.gyroscope,1539034479444,84661884066706,0.4820152,0.32751155,2.1069736
android.sensor.gyroscope,1539034479464,84661904006930,1.1984055,-0.00751413,1.7559689
android.sensor.gyroscope,1539034479484,84661923947154,1.8732505,-0.45705575,1.6382571
android.sensor.gyroscope,1539034479504,84661943887378,2.134773,-0.7372203,1.975946
android.sensor.gyroscope,1539034479524,84661963827602,1.9659286,-0.19606595,2.3791487
android.sensor.gyroscope,1539034479544,84661983773999,1.4247742,0.6513519,2.5788858
android.sensor.gyroscope,1539034479563,84662003714351,0.24233067,1.4487025,2.8606482
android.sensor.gyroscope,1539034479583,84662023654703,-1.7683561,2.5075753,3.467849
