Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034673024,84855449383461,4.905,8.281978,1.8154249
android.sensor.accelerometer,1539034673031,84855469324837,5.0918117,8.267608,1.8250049
android.sensor.accelerometer,1539034673049,84855489266213,5.130132,8.372989,1.3843213
android.sensor.accelerometer,1539034673069,84855509212148,5.0343313,8.425679,0.9627979
android.sensor.accelerometer,1539034673089,84855529153524,5.1971927,8.473579,1.0873389
android.sensor.accelerometer,1539034673109,84855549094900,5.513335,8.55501,1.3795313
android.sensor.accelerometer,1539034673129,84855569036404,5.6570363,8.5598,1.331631
android.sensor.accelerometer,1539034673149,84855588977780,5.5947657,8.583751,0.852627
android.sensor.accelerometer,1539034673169,84855608917900,5.4462748,8.583751,0.2921924
android.sensor.accelerometer,1539034673189,84855628859276,5.5612354,8.62207,0.19639161
android.sensor.accelerometer,1539034673209,84855648800652,5.7480474,8.679551,0.38320315
android.sensor.accelerometer,1539034673228,84855668742028,5.848638,8.818462,0.25866213
android.sensor.accelerometer,1539034673249,84855688683404,5.829478,8.842413,-1.0394385
android.sensor.accelerometer,1539034673269,84855708632350,5.9013286,8.880733,-2.0166066
android.sensor.accelerometer,1539034673288,84855728573982,5.858218,8.914263,-2.327959
android.sensor.accelerometer,1539034673308,84855748515486,6.0210795,8.995694,-2.8452833
android.sensor.accelerometer,1539034673328,84855768456990,5.8198977,8.923843,-3.5877395
android.sensor.accelerometer,1539034673348,84855788398494,4.8666797,8.449629,-4.287085
android.sensor.accelerometer,1539034673368,84855808338065,3.5015187,8.253238,-4.167334
android.sensor.accelerometer,1539034673388,84855828279697,1.7531544,8.210127,-4.253555
android.sensor.accelerometer,1539034673408,84855848221201,0.57959473,7.2760696,-5.470225
android.sensor.accelerometer,1539034673428,84855868162705,0.6179151,6.4138627,-4.622388
android.sensor.accelerometer,1539034673448,84855888104209,1.7771046,6.09293,-1.2549903
android.sensor.accelerometer,1539034673468,84855908048169,3.410508,5.4319043,0.46942386
android.sensor.accelerometer,1539034673488,84855927985443,5.1876125,4.9720607,0.8382569
android.sensor.accelerometer,1539034673508,84855947926947,6.006709,4.9624805,0.6514453
android.sensor.accelerometer,1539034673528,84855967868451,5.4175344,4.9481106,-0.09101075
android.sensor.accelerometer,1539034673548,84855987810083,4.0044727,4.6128078,-1.695674
android.sensor.accelerometer,1539034673568,84856007753434,3.2093263,3.9134622,-3.3578174
android.sensor.accelerometer,1539034673588,84856027694938,3.5685792,3.0799952,-3.6260598
android.sensor.accelerometer,1539034673607,84856047636570,3.5254688,2.7255323,-1.8968556
android.sensor.accelerometer,1539034673627,84856067578074,3.7266505,2.088457,0.6706055
android.sensor.accelerometer,1539034673647,84856087519706,4.521797,0.67539555,3.2859669
android.sensor.accelerometer,1539034673667,84856107457360,5.350474,-0.18681154,6.806646
android.sensor.accelerometer,1539034673687,84856127398864,6.447393,-0.3161426,9.340576
android.sensor.accelerometer,1539034673707,84856147340368,7.4676714,-0.05269043,9.5561285
android.sensor.accelerometer,1539034673727,84856167281872,9.2256155,-0.16286133,9.412427
android.sensor.accelerometer,1539034673747,84856187223376,10.542876,-0.26345217,9.8866415
android.sensor.accelerometer,1539034673767,84856207165141,10.581197,-0.37362307,11.02188
android.sensor.accelerometer,1539034673787,84856227106645,10.935659,-0.7759864,11.04104
android.sensor.accelerometer,1539034673807,84856247048149,10.250684,-1.2645704,9.302257
android.sensor.accelerometer,1539034673827,84856266989525,7.9849954,-1.3699512,7.9610453
android.sensor.accelerometer,1539034673847,84856286931029,7.4006104,-1.5280225,6.998247
android.sensor.accelerometer,1539034673867,84856306875934,9.73815,-1.7435743,4.87147
android.sensor.accelerometer,1539034673887,84856326817566,11.864927,-1.6142433,1.0394385
android.sensor.accelerometer,1539034673906,84856346759198,10.672208,-1.3507911,-1.5998731
android.sensor.accelerometer,1539034673926,84856366700830,10.236314,-2.1507277,-0.7951465
android.sensor.accelerometer,1539034673946,84856386642462,11.888878,-2.8500733,-0.49337405
android.sensor.accelerometer,1539034673966,84856406586471,13.2492485,-2.3806496,0.6945557
android.sensor.accelerometer,1539034673986,84856426528103,15.548468,-3.056045,2.936294
android.sensor.accelerometer,1539034674006,84856446469863,17.03338,-3.7266505,5.455855
android.sensor.accelerometer,1539034674027,84856466411495,17.953068,-3.295547,8.238868
android.sensor.accelerometer,1539034674048,84856486353255,21.095333,-3.544629,8.981323
android.sensor.accelerometer,1539034674066,84856506298428,21.94796,-4.1146436,7.204219
android.sensor.accelerometer,1539034674086,84856526240188,19.888243,-4.014053,5.125342
android.sensor.accelerometer,1539034674106,84856546181948,20.62591,-3.9182522,3.9469924
android.sensor.accelerometer,1539034674126,84856566123836,21.028273,-4.014053,2.5291407
android.sensor.accelerometer,1539034674146,84856586065596,19.36134,-4.152964,1.6286134
android.sensor.accelerometer,1539034674166,84856606011714,18.671574,-4.129014,1.8824854
android.sensor.accelerometer,1539034674186,84856625953602,19.370918,-3.8224514,1.2454102
android.sensor.accelerometer,1539034674206,84856645895618,18.628462,-3.63564,-0.09580079
android.sensor.accelerometer,1539034674226,84856665837506,16.98548,-3.903882,-0.45984375
