Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539034693163,84875590379801,-0.07602882,-0.011767632,0.04858289
android.sensor.gyroscope,1539034693176,84875610321177,-0.05312563,-0.09219509,0.02781023
android.sensor.gyroscope,1539034693191,84875630262681,-0.08614883,-0.079411924,0.0437892
android.sensor.gyroscope,1539034693212,84875650204057,-0.11544,0.0026174316,0.035798684
android.sensor.gyroscope,1539034693231,84875670145433,-0.08614523,0.028716411,-0.003616099
android.sensor.gyroscope,1539034693251,84875690086071,-0.046730444,-0.027742604,-0.021725595
android.sensor.gyroscope,1539034693272,84875710027447,-0.042469386,-0.024546811,-0.009475053
android.sensor.gyroscope,1539034693292,84875729968695,-0.08135154,0.056945916,-0.014801376
android.sensor.gyroscope,1539034693312,84875749910071,-0.09360208,0.08890385,-0.025986653
android.sensor.gyroscope,1539034693332,84875769851447,-0.046730444,0.034575365,-0.019062433
android.sensor.gyroscope,1539034693352,84875789798411,0.020913847,-0.023481546,0.005971281
android.sensor.gyroscope,1539034693372,84875809739915,0.04701283,-0.034666825,0.0017102233
android.sensor.gyroscope,1539034693392,84875829681291,0.029435962,-0.026144708,-0.016399272
android.sensor.gyroscope,1539034693412,84875849622795,0.031566493,0.015933238,-0.013736111
android.sensor.gyroscope,1539034693432,84875869564171,0.08855814,0.053750124,-0.06380354
android.sensor.gyroscope,1539034693451,84875889509344,0.08909077,-0.04265631,-0.13144784
android.sensor.gyroscope,1539034693472,84875909450848,0.07897076,-0.16303119,-0.16020997
android.sensor.gyroscope,1539034693492,84875929392352,0.056600206,-0.27754712,-0.34023967
android.sensor.gyroscope,1539034693512,84875949333856,-0.17775796,-0.31589663,-0.5580862
android.sensor.gyroscope,1539034693532,84875969275360,-0.52822995,-0.31110296,-0.6092189
android.sensor.gyroscope,1539034693552,84875989221289,-0.77856714,-0.5055137,-0.5868484
android.sensor.gyroscope,1539034693571,84876009162793,-0.9394221,-1.0940723,-0.808956
android.sensor.gyroscope,1539034693591,84876029104425,-0.9484768,-1.2836895,-1.1700807
android.sensor.gyroscope,1539034693611,84876049046057,-1.090157,-1.0104492,-1.412961
android.sensor.gyroscope,1539034693631,84876068987561,-1.2568709,-0.9433374,-1.4417231
android.sensor.gyroscope,1539034693651,84876088930040,-1.2888288,-1.2991358,-1.2925861
android.sensor.gyroscope,1539034693671,84876108871326,-1.432107,-1.7263068,-0.9341246
android.sensor.gyroscope,1539034693691,84876128812958,-1.9306507,-1.4978076,-0.3519576
android.sensor.gyroscope,1539034693711,84876148754590,-2.7141528,-0.6408023,0.25950423
android.sensor.gyroscope,1539034693734,84876168696222,-3.3376625,-0.07605723,0.7613231
android.sensor.gyroscope,1539034693751,84876188638012,-3.513431,-0.33864492,1.0979468
android.sensor.gyroscope,1539034693770,84876208579644,-3.335532,-1.1647575,1.4420271
android.sensor.gyroscope,1539034693790,84876228521276,-3.0361927,-1.8811479,1.9879751
android.sensor.gyroscope,1539034693811,84876248462780,-2.5882487,-2.2497294,2.498237
android.sensor.gyroscope,1539034693830,84876268404412,-1.8585427,-1.9253563,2.6463087
android.sensor.gyroscope,1539034693850,84876288346818,-1.2337651,-1.0747427,2.5275316
android.sensor.gyroscope,1539034693870,84876308288450,-0.7037961,-0.23318373,2.6271338
android.sensor.gyroscope,1539034693890,84876328230210,-0.47476417,0.40490967,2.6947782
android.sensor.gyroscope,1539034693910,84876348171842,-0.74108034,0.6797479,2.5722728
android.sensor.gyroscope,1539034693935,84876368113474,-0.993548,0.26269686,2.5461738
android.sensor.gyroscope,1539034693951,84876388040793,-0.93495846,-0.55595887,2.6867886
android.sensor.gyroscope,1539034693971,84876407982169,-0.77729934,-1.1663554,3.0798712
android.sensor.gyroscope,1539034693995,84876427923673,-0.63934755,-1.2696861,3.7659016
android.sensor.gyroscope,1539034694010,84876447865049,-0.4284252,-1.0592964,4.38482
android.sensor.gyroscope,1539034694030,84876467806553,-0.2569176,-0.9282688,4.5946774
android.sensor.gyroscope,1539034694056,84876487755938,-0.33361664,-0.8441129,4.4103866
android.sensor.gyroscope,1539034694070,84876507697570,-0.50885266,-0.43718186,3.8346112
android.sensor.gyroscope,1539034694090,84876527639330,-0.14186904,0.3042422,3.2066376
android.sensor.gyroscope,1539034694110,84876547580962,0.78224784,0.9758914,2.8913195
android.sensor.gyroscope,1539034694130,84876567522594,1.506095,1.2022601,2.8369908
android.sensor.gyroscope,1539034694150,84876587464226,1.9657568,1.0451336,2.936593
android.sensor.gyroscope,1539034694170,84876607405486,2.6523197,1.0078493,2.8359256
android.sensor.gyroscope,1539034694189,84876627347118,3.415049,0.98388094,2.327262
android.sensor.gyroscope,1539034694209,84876647288750,3.9114623,0.9103777,1.788238
android.sensor.gyroscope,1539034694230,84876667230382,4.0829697,0.8517881,1.3296417
android.sensor.gyroscope,1539034694258,84876687172142,4.161256,0.41128927,0.8081978
android.sensor.gyroscope,1539034694269,84876707118589,4.3833632,-0.008424915,0.5019343
android.sensor.gyroscope,1539034694288,84876727060221,4.537827,0.19930166,0.19247496
android.sensor.gyroscope,1539034694308,84876747001853,4.013184,0.64351696,-0.339092
android.sensor.gyroscope,1539034694328,84876766943613,2.9777472,0.78945816,-0.7327072
android.sensor.gyroscope,1539034694348,84876786885245,2.533532,0.7431192,-0.9324443
android.sensor.gyroscope,1539034694368,84876806829772,2.5809362,0.38092926,-1.3793226
android.sensor.gyroscope,1539034694388,84876826771404,2.5612288,0.002760361,-1.864018
android.sensor.gyroscope,1539034694409,84876846713164,2.459496,0.32020918,-2.1596289
android.sensor.gyroscope,1539034694428,84876866654924,2.420614,0.6674854,-2.4770777
android.sensor.gyroscope,1539034694451,84876886596556,2.620351,0.3042302,-2.6555095
