Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034739797,84922194062227,6.5240335,5.5229154,5.110972
android.sensor.accelerometer,1539034739797,84922214003859,6.1743608,5.216353,4.976851
android.sensor.accelerometer,1539034739797,84922233945619,6.4282327,4.790039,5.1780324
android.sensor.accelerometer,1539034739825,84922253893730,6.4282327,4.905,5.609136
android.sensor.accelerometer,1539034739835,84922273835618,6.1695704,5.1971927,5.829478
android.sensor.accelerometer,1539034739854,84922293777506,6.13604,5.1540823,5.407954
android.sensor.accelerometer,1539034739876,84922313719394,5.949229,4.9145803,4.5409575
android.sensor.accelerometer,1539034739895,84922333661282,5.7145166,4.7948294,4.018843
android.sensor.accelerometer,1539034739915,84922353604602,5.2929935,4.8379397,4.358936
android.sensor.accelerometer,1539034739935,84922373546490,4.967271,5.039121,4.88584
android.sensor.accelerometer,1539034739955,84922393488378,5.2977834,4.86189,4.3541455
android.sensor.accelerometer,1539034739975,84922413429178,6.06419,4.2918754,3.2189064
android.sensor.accelerometer,1539034739994,84922433371066,6.8832865,4.119434,3.415298
android.sensor.accelerometer,1539034740015,84922453314508,6.8497562,3.9469924,4.89542
android.sensor.accelerometer,1539034740035,84922473256524,6.998247,3.774551,5.858218
android.sensor.accelerometer,1539034740055,84922493198540,7.151529,3.6739602,5.5516553
android.sensor.accelerometer,1539034740075,84922513140556,7.3575,3.8416114,5.024751
android.sensor.accelerometer,1539034740094,84922533082572,7.33355,3.9709425,5.005591
android.sensor.accelerometer,1539034740114,84922553024483,7.2808595,4.296665,5.4031644
android.sensor.accelerometer,1539034740133,84922572966499,7.2664895,4.9433208,5.7863674
android.sensor.accelerometer,1539034740153,84922592908515,7.1371584,5.9204884,6.3994923
android.sensor.accelerometer,1539034740174,84922612850531,6.9934573,6.710845,7.2185893
android.sensor.accelerometer,1539034740194,84922632792547,7.4676714,7.199429,8.272398
android.sensor.accelerometer,1539034740215,84922652734307,8.440049,7.391031,10.475816
android.sensor.accelerometer,1539034740234,84922672676323,8.267608,6.7395854,13.110337
android.sensor.accelerometer,1539034740255,84922692618339,6.9790874,4.981641,14.829962
android.sensor.accelerometer,1539034740274,84922712560227,5.216353,3.032095,15.668219
android.sensor.accelerometer,1539034740294,84922732502243,4.047583,0.8430469,15.064673
android.sensor.accelerometer,1539034740314,84922752446654,2.8500733,-1.1352394,13.972545
android.sensor.accelerometer,1539034740334,84922772388670,0.85741705,-2.064507,12.25292
android.sensor.accelerometer,1539034740354,84922792330686,-0.5412744,-2.4668703,9.939331
android.sensor.accelerometer,1539034740374,84922812272702,0.100590825,-2.184258,6.792276
android.sensor.accelerometer,1539034740396,84922832214718,1.7148341,-2.3758595,2.6584718
android.sensor.accelerometer,1539034740415,84922852158989,2.2704787,-2.189048,-0.7041358
android.sensor.accelerometer,1539034740434,84922872101005,3.2859669,-1.22625,-3.290757
android.sensor.accelerometer,1539034740454,84922892043149,4.0667434,-0.4406836,-5.455855
android.sensor.accelerometer,1539034740474,84922911985165,2.802173,0.028740235,-6.0402393
android.sensor.accelerometer,1539034740494,84922931927309,2.3423293,0.22992188,-6.0450296
android.sensor.accelerometer,1539034740514,84922951864875,4.0667434,0.60833496,-7.2185893
android.sensor.accelerometer,1539034740534,84922971806891,5.5229154,0.7376661,-7.711963
android.sensor.accelerometer,1539034740554,84922991748779,6.016289,0.6466553,-7.213799
android.sensor.accelerometer,1539034740574,84923011690795,6.983877,0.28261232,-7.31918
android.sensor.accelerometer,1539034740593,84923031632811,8.214917,-0.019160157,-8.305928
android.sensor.accelerometer,1539034740614,84923051568573,7.8412943,-0.39278322,-8.5502205
android.sensor.accelerometer,1539034740633,84923071510461,7.549102,-1.7818946,-7.36708
android.sensor.accelerometer,1539034740653,84923091452349,8.962164,-3.2476466,-4.727769
android.sensor.accelerometer,1539034740673,84923111394237,10.98835,-2.8883936,-1.719624
android.sensor.accelerometer,1539034740693,84923131336253,12.784615,-1.5184424,-0.71371585
android.sensor.accelerometer,1539034740713,84923151266766,14.384488,-2.3854396,-2.198628
android.sensor.accelerometer,1539034740733,84923171208398,14.64315,-3.544629,-4.071533
android.sensor.accelerometer,1539034740752,84923191150030,13.321099,-3.2045362,-4.368516
android.sensor.accelerometer,1539034740772,84923211091662,12.17149,-2.2944288,-4.148174
android.sensor.accelerometer,1539034740792,84923231033294,14.62878,-3.923042,-5.1924024
android.sensor.accelerometer,1539034740813,84923250974365,17.852476,-6.5288234,-5.3025737
android.sensor.accelerometer,1539034740833,84923270915997,18.709894,-7.0509377,-3.271597
android.sensor.accelerometer,1539034740852,84923290857501,16.698076,-5.4031644,-0.24908204
android.sensor.accelerometer,1539034740872,84923310799133,15.112574,-5.513335,0.086220704
android.sensor.accelerometer,1539034740893,84923330740637,15.462247,-6.935977,-1.346001
android.sensor.accelerometer,1539034740913,84923350684408,14.782062,-6.10251,-0.48379397
android.sensor.accelerometer,1539034740933,84923370626040,13.37858,-5.158872,1.590293
android.sensor.accelerometer,1539034740953,84923390567672,14.3749075,-6.3994923,2.179468
android.sensor.accelerometer,1539034740973,84923410509304,16.247812,-7.568262,3.1278956
android.sensor.accelerometer,1539034740993,84923430450936,16.669336,-7.3575,5.489385
android.sensor.accelerometer,1539034741013,84923450394171,15.079043,-6.0354495,8.008945
android.sensor.accelerometer,1539034741032,84923470335803,13.8048935,-5.3313136,7.3862405
android.sensor.accelerometer,1539034741052,84923490277435,13.306729,-5.4127445,5.633086
android.sensor.accelerometer,1539034741072,84923510219067,13.129498,-5.4510646,5.6282964
android.sensor.accelerometer,1539034741092,84923530160571,13.014537,-5.4223247,6.5240335
android.sensor.accelerometer,1539034741112,84923550111766,12.822935,-5.6570363,8.181387
android.sensor.accelerometer,1539034741132,84923570053654,12.593013,-5.6857767,9.829161
android.sensor.accelerometer,1539034741152,84923589995414,11.654165,-5.326524,10.921289
android.sensor.accelerometer,1539034741172,84923609937302,10.509346,-5.110972,11.189531
android.sensor.accelerometer,1539034741191,84923629879190,9.8866415,-4.9241605,10.921289
android.sensor.accelerometer,1539034741212,84923649816025,9.685459,-4.2008643,10.485396
android.sensor.accelerometer,1539034741232,84923669757785,9.546548,-3.515889,9.532178
android.sensor.accelerometer,1539034741252,84923689699545,9.589659,-2.907554,7.573052
android.sensor.accelerometer,1539034741271,84923709641305,9.249566,-2.5004005,5.7815776
android.sensor.accelerometer,1539034741291,84923729583065,8.47837,-1.954336,5.336104
android.sensor.accelerometer,1539034741311,84923749522204,7.5874224,-1.3939015,5.527705
android.sensor.accelerometer,1539034741331,84923769463836,7.0174074,-0.9148975,5.110972
android.sensor.accelerometer,1539034741351,84923789405468,7.074888,-0.3784131,3.0704153
android.sensor.accelerometer,1539034741371,84923809347228,6.006709,-0.11496094,1.6669337
android.sensor.accelerometer,1539034741391,84923829288860,4.5696974,-0.09101075,2.4189699
android.sensor.accelerometer,1539034741411,84923849228333,4.679868,0.0,3.0368848
android.sensor.accelerometer,1539034741433,84923869169965,5.4031644,0.28261232,3.1087356
android.sensor.accelerometer,1539034741452,84923889111597,5.848638,0.57959473,2.5770411
android.sensor.accelerometer,1539034741471,84923909053229,5.130132,0.8095166,2.2656887
android.sensor.accelerometer,1539034741491,84923928994861,4.368516,0.8286768,2.0357666
android.sensor.accelerometer,1539034741511,84923948933939,4.9289503,1.2933106,1.3795313
android.sensor.accelerometer,1539034741532,84923968875443,5.9013286,2.059717,0.52690434
android.sensor.accelerometer,1539034741551,84923988817075,5.877378,2.548301,-0.42152345
android.sensor.accelerometer,1539034741570,84924008758579,5.269043,2.6345215,-0.8095166
android.sensor.accelerometer,1539034741591,84924028700211,6.1552005,2.7734327,-0.9388477
android.sensor.accelerometer,1539034741610,84924048651784,7.4820414,3.3578174,-1.3747413
android.sensor.accelerometer,1539034741630,84924068593416,7.5299416,3.908672,-1.7914747
