Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539034745758,84928176599378,-0.026166648,0.031136315,0.010277005
android.sensor.gyroscope,1539034745758,84928196540882,-0.016579269,0.019951038,0.01826649
android.sensor.gyroscope,1539034745802,84928216482386,0.0015302282,2.4364516E-4,-0.0035714328
android.sensor.gyroscope,1539034745802,84928236423890,0.025498677,0.0029068063,-0.016887238
android.sensor.gyroscope,1539034745816,84928256376341,0.04520607,-0.010941631,-0.013158813
android.sensor.gyroscope,1539034745836,84928276318101,0.048401862,-0.027453229,-0.008365123
android.sensor.gyroscope,1539034745856,84928296259733,0.034020793,-0.005082677,-0.0030388006
android.sensor.gyroscope,1539034745876,84928316201493,-0.005393991,-0.01307216,-0.016887238
android.sensor.gyroscope,1539034745896,84928336143125,-0.048537202,-0.051954314,-0.032333575
android.sensor.gyroscope,1539034745916,84928356093223,-0.032558236,-0.049823783,0.020397017
android.sensor.gyroscope,1539034745936,84928376035239,0.0073891827,0.023679465,0.09390026
android.sensor.gyroscope,1539034745956,84928395977127,-0.011252945,0.08972586,0.07152971
android.sensor.gyroscope,1539034745976,84928415919015,-0.06824459,0.049778443,1.5699271E-4
android.sensor.gyroscope,1539034745996,84928435860903,-0.10126779,0.020483669,-0.04138832
android.sensor.gyroscope,1539034746016,84928455810893,-0.06824459,0.07268163,-0.03393147
android.sensor.gyroscope,1539034746036,84928475753037,-0.020307694,0.091323756,-0.0195504
android.sensor.gyroscope,1539034746055,84928495695181,-0.058124583,0.10677009,-0.05949782
android.sensor.gyroscope,1539034746075,84928515637325,-0.18435842,0.13979328,-0.115956835
android.sensor.gyroscope,1539034746097,84928535579469,-0.29726985,0.20531438,-0.1404598
android.sensor.gyroscope,1539034746115,84928555515169,-0.4133837,0.24313127,-0.163363
android.sensor.gyroscope,1539034746136,84928575457185,-0.6701124,0.2702955,-0.23899676
android.sensor.gyroscope,1539034746158,84928595399073,-1.041357,0.41144302,-0.32794636
android.sensor.gyroscope,1539034746175,84928615341089,-1.1894288,0.37735456,-0.47495285
android.sensor.gyroscope,1539034746195,84928635283105,-0.8874263,-0.22398719,-0.6922668
android.sensor.gyroscope,1539034746215,84928655228717,-0.19127604,-1.1853884,-0.82702273
android.sensor.gyroscope,1539034746235,84928675170861,0.79782206,-1.7643596,-0.57562035
android.sensor.gyroscope,1539034746255,84928695112877,1.8258022,-1.5379909,0.17965217
android.sensor.gyroscope,1539034746275,84928715055021,2.7046454,-0.55262125,1.0313311
android.sensor.gyroscope,1539034746295,84928734997165,3.05565,0.24579443,1.387662
android.sensor.gyroscope,1539034746315,84928754938059,2.9682984,0.06683,1.2992451
android.sensor.gyroscope,1539034746335,84928774880075,2.6822748,-0.65275615,1.0457121
android.sensor.gyroscope,1539034746355,84928794822219,2.4132955,-1.1731379,0.91361934
android.sensor.gyroscope,1539034746375,84928814764235,2.256169,-1.0160114,0.98925316
android.sensor.gyroscope,1539034746394,84928834706251,2.1720133,-0.38058108,1.290723
android.sensor.gyroscope,1539034746415,84928854651991,2.221548,0.12328901,1.8121699
android.sensor.gyroscope,1539034746434,84928874594135,2.1672194,0.5685696,2.2851474
android.sensor.gyroscope,1539034746454,84928894536279,1.7869201,1.0000017,2.3906085
android.sensor.gyroscope,1539034746475,84928914478551,1.0678666,1.1102564,2.1866105
android.sensor.gyroscope,1539034746494,84928934420695,0.2785056,0.9685764,1.9522521
android.sensor.gyroscope,1539034746514,84928954358255,-0.18541709,0.7347508,1.8531826
android.sensor.gyroscope,1539034746534,84928974300399,-0.197135,0.46790206,1.8675637
android.sensor.gyroscope,1539034746554,84928994242543,-0.037877955,0.24899022,1.8712921
android.sensor.gyroscope,1539034746574,84929014184559,-0.077825375,0.18400909,1.9101743
android.sensor.gyroscope,1539034746594,84929034126703,-0.45439637,0.22768493,2.0720947
android.sensor.gyroscope,1539034746615,84929054063226,-0.954012,0.4391326,2.2744966
android.sensor.gyroscope,1539034746635,84929074005242,-1.3257893,0.6479244,2.2958019
android.sensor.gyroscope,1539034746654,84929093947258,-1.5265917,0.5488548,2.1093805
android.sensor.gyroscope,1539034746674,84929113889274,-1.6698698,0.20317651,1.8547825
android.sensor.gyroscope,1539034746694,84929133831290,-1.940447,-0.2021566,1.6672958
android.sensor.gyroscope,1539034746714,84929153773013,-2.24458,-0.75822467,1.5016472
android.sensor.gyroscope,1539034746734,84929173715029,-2.693589,-1.0996419,1.3056386
android.sensor.gyroscope,1539034746753,84929193657045,-3.2033179,-1.0549008,1.279007
android.sensor.gyroscope,1539034746773,84929213599061,-3.779626,-0.57979286,1.4995167
android.sensor.gyroscope,1539034746793,84929233541205,-4.3724456,0.118488,1.6513169
android.sensor.gyroscope,1539034746813,84929253481638,-4.4944186,0.38853255,1.4308071
android.sensor.gyroscope,1539034746833,84929273423654,-3.9207735,0.23406918,0.7889853
android.sensor.gyroscope,1539034746853,84929293365542,-3.2246232,0.026875257,-0.0376599
android.sensor.gyroscope,1539034746873,84929313307558,-2.9380672,-0.36620733,-0.77855134
android.sensor.gyroscope,1539034746893,84929333249574,-2.9769492,-0.9361238,-1.2360824
android.sensor.gyroscope,1539034746913,84929353188992,-2.9460566,-0.5579549,-1.2946719
android.sensor.gyroscope,1539034746933,84929373131008,-2.978547,0.69373083,-1.3095857
android.sensor.gyroscope,1539034746953,84929393072896,-3.0999873,1.5171802,-1.5050616
android.sensor.gyroscope,1539034746973,84929413014912,-2.8326058,1.3808264,-1.7324957
android.sensor.gyroscope,1539034746993,84929432956928,-2.2499063,1.0303544,-1.9918876
android.sensor.gyroscope,1539034747013,84929452889100,-2.1108892,0.9877438,-2.275248
android.sensor.gyroscope,1539034747033,84929472830860,-2.2291336,1.0031902,-2.447821
android.sensor.gyroscope,1539034747052,84929492772492,-1.8488342,0.9366111,-2.5335746
android.sensor.gyroscope,1539034747072,84929512714252,-1.2006208,0.75018984,-2.7088106
android.sensor.gyroscope,1539034747092,84929532656012,-1.074387,0.5184948,-2.9793878
android.sensor.gyroscope,1539034747112,84929552588047,-1.1718587,0.6159665,-3.0172048
android.sensor.gyroscope,1539034747133,84929572529423,-0.7675847,0.96431464,-2.784446
android.sensor.gyroscope,1539034747154,84929592470927,-0.040009085,1.2801656,-2.4526162
android.sensor.gyroscope,1539034747172,84929612412303,0.4047388,1.422911,-2.198018
android.sensor.gyroscope,1539034747192,84929632353807,0.5618653,1.4538037,-2.1165252
android.sensor.gyroscope,1539034747212,84929652300126,0.85108465,1.4372921,-2.0446198
android.sensor.gyroscope,1539034747232,84929672241630,1.1919693,1.5022732,-1.8363606
android.sensor.gyroscope,1539034747252,84929692183134,1.4897107,1.7968189,-1.449137
android.sensor.gyroscope,1539034747272,84929712124638,1.6867846,2.1291814,-0.98521435
android.sensor.gyroscope,1539034747292,84929732066142,1.7618858,2.0977561,-0.62036127
android.sensor.gyroscope,1539034747312,84929752010821,1.7842563,1.6434207,-0.47655058
android.sensor.gyroscope,1539034747334,84929771952325,1.8939786,1.2769698,-0.4914643
android.sensor.gyroscope,1539034747354,84929791893829,2.0500398,1.4687173,-0.35511044
android.sensor.gyroscope,1539034747374,84929811835333,2.0702796,2.40615,0.23398082
android.sensor.gyroscope,1539034747394,84929831776837,1.8156816,3.592322,1.1080303
android.sensor.gyroscope,1539034747414,84929851724563,1.4391106,3.9715562,1.716829
android.sensor.gyroscope,1539034747434,84929871666195,1.3395084,3.4160209,1.8494544
android.sensor.gyroscope,1539034747454,84929891607827,1.6740015,2.4492934,1.6523805
android.sensor.gyroscope,1539034747474,84929911549459,2.051105,1.5965492,1.2715485
android.sensor.gyroscope,1539034747494,84929931491219,2.055366,0.99680525,1.0228091
android.sensor.gyroscope,1539034747514,84929951434271,1.5930413,0.75978386,1.066485
android.sensor.gyroscope,1539034747534,84929971376031,1.0604091,0.8897461,1.2065673
android.sensor.gyroscope,1539034747554,84929991317663,0.8500194,1.0276979,1.3173548
android.sensor.gyroscope,1539034747574,84930011259423,0.7461561,0.97230417,1.2065673
android.sensor.gyroscope,1539034747593,84930031201055,0.5805075,0.6458006,0.7868531
android.sensor.gyroscope,1539034747614,84930051148916,0.48250312,0.11902729,0.34956202
android.sensor.gyroscope,1539034747633,84930071090804,0.40953252,-0.14356041,0.13810702
android.sensor.gyroscope,1539034747655,84930091032692,0.29978925,-0.025339345,0.13811302
android.sensor.gyroscope,1539034747673,84930110974580,0.17834912,0.08811132,0.23025839
android.sensor.gyroscope,1539034747692,84930130916468,0.0968564,0.026325982,0.2419763
android.sensor.gyroscope,1539034747713,84930150859715,0.122955374,-0.22933748,0.15249409
android.sensor.gyroscope,1539034747734,84930170801603,0.18207756,-0.50470835,0.051293977
android.sensor.gyroscope,1539034747754,84930190743491,0.14106487,-0.4972515,0.03957607
android.sensor.gyroscope,1539034747773,84930210685379,0.044125803,-0.30337337,0.0912414
android.sensor.gyroscope,1539034747793,84930230627267,-0.027779544,-0.20430377,0.15515725
android.sensor.gyroscope,1539034747813,84930250570057,-0.10341332,-0.21602167,0.16794042
android.sensor.gyroscope,1539034747833,84930270511945,-0.17798184,-0.21655431,0.09070876
android.sensor.gyroscope,1539034747852,84930290453833,-0.24402823,-0.18779217,-0.027002962
android.sensor.gyroscope,1539034747872,84930310395721,-0.2711925,-0.10523418,-0.07760302
android.sensor.gyroscope,1539034747892,84930330337737,-0.28077987,0.027391247,-0.064287215
android.sensor.gyroscope,1539034747912,84930350279521,-0.2450935,0.0513597,-0.07866829
android.sensor.gyroscope,1539034747932,84930370221537,-0.16093759,-0.10044049,-0.09464725
android.sensor.gyroscope,1539034747952,84930390163425,-0.08903225,-0.16382372,-0.10583253
android.sensor.gyroscope,1539034747972,84930410105441,-0.017126901,-0.12973526,-0.09677778
android.sensor.gyroscope,1539034747992,84930430047329,0.027081575,-0.13026789,-0.060558792
android.sensor.gyroscope,1539034748012,84930449997872,0.0473216,-0.124941565,-0.037655607
android.sensor.gyroscope,1539034748032,84930469937206,0.08886691,-0.13932264,-0.046177723
android.sensor.gyroscope,1539034748052,84930489879350,0.15864174,-0.2032385,-0.05789563
android.sensor.gyroscope,1539034748072,84930509821494,0.159707,-0.20909746,-0.052036677
android.sensor.gyroscope,1539034748090,84930529763638,0.029212104,-0.03439409,0.004422339
android.sensor.gyroscope,1539034748110,84930549712839,-0.18543868,0.10888398,0.052891873
android.sensor.gyroscope,1539034748129,84930569655111,-0.26533353,0.010879648,-0.007828202
android.sensor.gyroscope,1539034748149,84930589597511,-0.20248291,-0.1435837,-0.09358199
android.sensor.gyroscope,1539034748170,84930609539783,-0.16466063,-0.19471039,-0.13193305
