Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034827063,85009499555532,7.0030375,6.8928666,0.82388675
android.sensor.accelerometer,1539034827080,85009519497420,6.959927,6.8832865,0.8047266
android.sensor.accelerometer,1539034827099,85009539439180,6.9886675,6.830596,1.1064991
android.sensor.accelerometer,1539034827119,85009559376795,6.974297,6.9216065,1.465752
android.sensor.accelerometer,1539034827139,85009579318555,7.2808595,6.878496,1.341211
android.sensor.accelerometer,1539034827159,85009599260187,7.189849,6.959927,1.0490186
android.sensor.accelerometer,1539034827179,85009619201819,6.998247,6.983877,0.7185059
android.sensor.accelerometer,1539034827199,85009639143451,6.9934573,6.998247,0.8286768
android.sensor.accelerometer,1539034827219,85009659088434,6.950347,7.1323686,1.1591895
android.sensor.accelerometer,1539034827239,85009679030066,7.151529,7.180269,1.1591895
android.sensor.accelerometer,1539034827259,85009698971698,7.32876,7.0988383,1.0394385
android.sensor.accelerometer,1539034827279,85009718913330,7.3718705,7.1227884,0.82388675
android.sensor.accelerometer,1539034827299,85009738854962,7.32397,7.223379,1.0490186
android.sensor.accelerometer,1539034827319,85009758802549,7.1371584,7.4676714,1.5807129
android.sensor.accelerometer,1539034827339,85009778744309,7.103628,7.683223,1.7866846
android.sensor.accelerometer,1539034827358,85009798686069,7.185059,7.9083548,1.465752
android.sensor.accelerometer,1539034827379,85009818627957,7.2185893,8.138277,1.3699512
android.sensor.accelerometer,1539034827398,85009838569717,7.4054008,7.7790236,2.1315675
android.sensor.accelerometer,1539034827418,85009858509423,7.4916215,7.6113725,3.7458107
android.sensor.accelerometer,1539034827438,85009878451183,8.59333,7.549102,5.4366946
android.sensor.accelerometer,1539034827458,85009898392943,10.662627,7.6401124,7.32397
android.sensor.accelerometer,1539034827478,85009918334703,11.285333,7.5155716,8.995694
android.sensor.accelerometer,1539034827499,85009938276463,10.250684,6.346802,10.193204
android.sensor.accelerometer,1539034827518,85009958225421,8.48316,5.8007374,11.203902
android.sensor.accelerometer,1539034827538,85009978167309,7.3958206,5.575606,10.494976
android.sensor.accelerometer,1539034827558,85009998109197,6.581514,5.1924024,7.822134
android.sensor.accelerometer,1539034827578,85010018051213,5.719307,4.8523097,4.6607084
android.sensor.accelerometer,1539034827598,85010037993101,4.3397756,4.608018,2.6153615
android.sensor.accelerometer,1539034827618,85010057935013,3.1614258,4.493057,2.6105714
android.sensor.accelerometer,1539034827638,85010077877029,2.7111623,4.598438,2.8644435
android.sensor.accelerometer,1539034827658,85010097818917,3.2236965,4.550537,2.1076174
android.sensor.accelerometer,1539034827678,85010117760805,4.191284,4.4691067,0.5604346
android.sensor.accelerometer,1539034827697,85010137702821,4.742139,4.402046,-0.85741705
android.sensor.accelerometer,1539034827718,85010157648628,4.5744877,4.191284,-0.7376661
android.sensor.accelerometer,1539034827737,85010177590644,4.129014,3.9422023,0.1341211
android.sensor.accelerometer,1539034827757,85010197532660,4.6750784,3.6068995,-0.3784131
android.sensor.accelerometer,1539034827777,85010217474676,6.3803325,3.0416749,-2.2417383
android.sensor.accelerometer,1539034827797,85010237416692,6.5384035,2.6249416,-2.4716604
android.sensor.accelerometer,1539034827817,85010257362693,4.7708793,2.2129982,-1.1208692
android.sensor.accelerometer,1539034827837,85010277304709,4.5888577,1.7339942,-1.695674
android.sensor.accelerometer,1539034827857,85010297246853,5.1157618,1.4992822,-5.3313136
android.sensor.accelerometer,1539034827877,85010317188869,4.8379397,1.346001,-8.52627
android.sensor.accelerometer,1539034827897,85010337131013,4.263135,1.3699512,-7.8029737
android.sensor.accelerometer,1539034827917,85010357071651,4.3541455,1.1400293,-5.4414845
android.sensor.accelerometer,1539034827937,85010377013795,5.130132,1.0250684,-5.724097
android.sensor.accelerometer,1539034827957,85010396955939,5.585186,0.7568262,-8.104747
android.sensor.accelerometer,1539034827977,85010416897955,5.7480474,0.6322852,-9.910591
android.sensor.accelerometer,1539034827997,85010436840099,5.5708156,0.68976563,-10.724898
android.sensor.accelerometer,1539034828017,85010456787759,5.345684,0.53169435,-11.184742
android.sensor.accelerometer,1539034828036,85010476729903,6.8114357,-0.081430666,-10.859019
android.sensor.accelerometer,1539034828056,85010496672175,9.83874,-0.244292,-11.146421
android.sensor.accelerometer,1539034828076,85010516614447,10.308165,0.29698244,-12.17149
android.sensor.accelerometer,1539034828096,85010536556591,7.668853,0.4263135,-12.473262
android.sensor.accelerometer,1539034828116,85010556499259,6.8114357,0.33530274,-11.903248
android.sensor.accelerometer,1539034828136,85010576441531,9.637559,0.42152345,-12.669654
android.sensor.accelerometer,1539034828156,85010596383803,11.860137,0.7376661,-14.336588
android.sensor.accelerometer,1539034828176,85010616326075,11.199112,0.4406836,-14.259947
android.sensor.accelerometer,1539034828196,85010636268475,9.972861,0.23471193,-12.16191
android.sensor.accelerometer,1539034828216,85010656211137,9.503438,0.21555176,-9.1202345
android.sensor.accelerometer,1539034828236,85010676153409,9.584868,0.11496094,-8.056846
android.sensor.accelerometer,1539034828256,85010696095681,9.354947,0.1341211,-8.53585
android.sensor.accelerometer,1539034828276,85010716037953,9.019644,0.1580713,-8.382568
android.sensor.accelerometer,1539034828296,85010735980225,9.311836,-0.081430666,-7.692803
android.sensor.accelerometer,1539034828316,85010755926032,10.667418,-0.16765137,-6.5288234
android.sensor.accelerometer,1539034828336,85010775868304,12.118799,0.4742139,-6.5192432
android.sensor.accelerometer,1539034828355,85010795810704,12.214601,1.3028907,-7.165899
android.sensor.accelerometer,1539034828375,85010815753104,11.836187,1.6094532,-7.788604
android.sensor.accelerometer,1539034828395,85010835695376,10.595567,1.1208692,-7.563472
android.sensor.accelerometer,1539034828415,85010855640092,9.388477,0.9532178,-5.863008
android.sensor.accelerometer,1539034828435,85010875582492,8.780142,0.85741705,-5.2738333
android.sensor.accelerometer,1539034828456,85010895524892,8.147857,0.57959473,-5.973179
android.sensor.accelerometer,1539034828476,85010915467420,7.9562554,0.34488282,-6.4282327
android.sensor.accelerometer,1539034828496,85010935409820,6.816226,0.06706055,-4.5840673
android.sensor.accelerometer,1539034828517,85010955348074,5.609136,-0.043110352,-1.949546
android.sensor.accelerometer,1539034828540,85010975290474,4.9337406,0.5556446,-0.014370117
android.sensor.accelerometer,1539034828557,85010995232746,4.9289503,1.2070899,-0.25387207
android.sensor.accelerometer,1539034828577,85011015175610,5.206773,1.1352394,-0.8430469
android.sensor.accelerometer,1539034828597,85011035118010,5.0918117,0.728086,0.25387207
android.sensor.accelerometer,1539034828617,85011055047817,5.216353,0.60833496,2.5147705
android.sensor.accelerometer,1539034828637,85011074989961,5.374424,1.22625,4.8139896
android.sensor.accelerometer,1539034828657,85011094931977,6.9311867,1.7962648,4.703819
android.sensor.accelerometer,1539034828677,85011114874121,8.382568,1.7339942,2.8644435
android.sensor.accelerometer,1539034828697,85011134816265,8.071217,0.8669971,2.4525
android.sensor.accelerometer,1539034828717,85011154753630,7.683223,0.39278322,4.0763235
android.sensor.accelerometer,1539034828737,85011174695646,7.3622904,0.76161623,5.6857767
android.sensor.accelerometer,1539034828757,85011194637534,7.2185893,1.4274317,5.968389
android.sensor.accelerometer,1539034828777,85011214579550,7.9897857,1.7292042,4.9624805
android.sensor.accelerometer,1539034828797,85011234521438,8.53106,1.7387843,3.8128712
android.sensor.accelerometer,1539034828817,85011254463216,8.990904,1.9160157,3.2236965
android.sensor.accelerometer,1539034828836,85011274405104,9.575289,2.074087,2.8883936
android.sensor.accelerometer,1539034828856,85011294347120,9.953702,2.1650977,3.271597
android.sensor.accelerometer,1539034828876,85011314289008,10.054293,2.2465284,3.8703518
android.sensor.accelerometer,1539034828896,85011334231024,10.011182,2.0453467,3.8464015
android.sensor.accelerometer,1539034828916,85011354173308,9.83874,1.6381935,3.4967287
android.sensor.accelerometer,1539034828936,85011374115324,10.250684,1.0154883,4.0763235
android.sensor.accelerometer,1539034828956,85011394057340,10.485396,0.39278322,5.364844
android.sensor.accelerometer,1539034828976,85011413999228,9.68067,-0.06227051,6.4138627
android.sensor.accelerometer,1539034828996,85011433941244,9.704619,-0.46463382,6.567144
android.sensor.accelerometer,1539034829016,85011453883819,10.408755,-0.9867481,5.4319043
android.sensor.accelerometer,1539034829036,85011473825707,10.997931,-1.7483643,4.6942387
android.sensor.accelerometer,1539034829058,85011493767595,10.298584,-2.184258,6.0593996
android.sensor.accelerometer,1539034829076,85011513709483,9.211246,-1.7627344,8.248447
android.sensor.accelerometer,1539034829095,85011533651499,9.910591,-1.2502003,8.234077
android.sensor.accelerometer,1539034829115,85011553590266,11.534414,-1.21188,6.07856
android.sensor.accelerometer,1539034829135,85011573532154,12.430152,-1.4418018,5.010381
android.sensor.accelerometer,1539034829155,85011593474042,12.214601,-1.5184424,6.5144534
android.sensor.accelerometer,1539034829175,85011613415930,12.046948,-1.1304493,8.119117
android.sensor.accelerometer,1539034829195,85011633357818,12.056529,-0.9867481,7.951465
android.sensor.accelerometer,1539034829215,85011653295622,11.855348,-1.0681788,7.103628
android.sensor.accelerometer,1539034829235,85011673237382,11.366763,-1.1687696,6.969507
android.sensor.accelerometer,1539034829255,85011693179142,10.705738,-1.1591895,7.4964113
android.sensor.accelerometer,1539034829275,85011713120902,11.227852,-0.85741705,7.199429
android.sensor.accelerometer,1539034829295,85011733062662,12.25292,-0.9388477,6.2510014
android.sensor.accelerometer,1539034829315,85011753006098,12.23855,-1.1879297,5.695357
android.sensor.accelerometer,1539034829335,85011772947858,11.108101,-1.1927198,5.8198977
android.sensor.accelerometer,1539034829355,85011792889618,9.75731,-1.0059083,6.461763
android.sensor.accelerometer,1539034829375,85011812831378,9.211246,-0.89573735,7.199429
android.sensor.accelerometer,1539034829396,85011832773138,8.851993,-1.096919,6.5000834
android.sensor.accelerometer,1539034829414,85011852716544,8.583751,-0.6514453,4.8044095
android.sensor.accelerometer,1539034829435,85011872658432,9.982442,-0.100590825,5.992339
android.sensor.accelerometer,1539034829455,85011892600192,10.638678,-0.57001466,6.9216065
android.sensor.accelerometer,1539034829474,85011912542080,8.1143265,0.033530276,8.1143265
android.sensor.accelerometer,1539034829494,85011932483840,4.6511283,0.0047900393,7.831714
android.sensor.accelerometer,1539034829514,85011952426118,3.3290772,0.68976563,6.5192432
android.sensor.accelerometer,1539034829534,85011972367878,4.033213,0.9053174,4.6511283
android.sensor.accelerometer,1539034829554,85011992309638,5.1732426,1.1543995,4.1242237
android.sensor.accelerometer,1539034829576,85012012251398,4.86189,2.2656887,5.484595
android.sensor.accelerometer,1539034829595,85012032193286,5.5516553,0.6993457,7.793394
android.sensor.accelerometer,1539034829614,85012052129121,5.2882032,0.47900394,9.599238
android.sensor.accelerometer,1539034829634,85012072070881,4.89542,1.1783496,9.599238
android.sensor.accelerometer,1539034829654,85012092012513,4.176914,1.4418018,8.53585
android.sensor.accelerometer,1539034829674,85012111954273,3.515889,1.5184424,8.023315
android.sensor.accelerometer,1539034829694,85012131895905,3.0799952,1.5376027,8.406519
android.sensor.accelerometer,1539034829714,85012151840187,2.2704787,2.193838,8.128696
android.sensor.accelerometer,1539034829734,85012171781947,1.6765138,3.1853762,7.486831
android.sensor.accelerometer,1539034829754,85012191723579,1.8681153,3.66438,6.715635
android.sensor.accelerometer,1539034829774,85012211665339,2.3519094,3.6979103,6.6677346
android.sensor.accelerometer,1539034829794,85012231606971,2.926714,2.8836036,7.2904396
android.sensor.accelerometer,1539034829814,85012251549499,3.2236965,3.0943654,8.598121
android.sensor.accelerometer,1539034829834,85012271491131,3.180586,3.4584084,8.947793
android.sensor.accelerometer,1539034829854,85012291432891,3.779341,3.4679885,9.211246
android.sensor.accelerometer,1539034829874,85012311374651,4.143384,3.3386574,9.901011
android.sensor.accelerometer,1539034829894,85012331316411,3.5542092,3.4679885,9.599238
android.sensor.accelerometer,1539034829914,85012351259597,3.1853762,3.779341,8.804092
android.sensor.accelerometer,1539034829934,85012371201357,2.6536818,3.7937112,8.938213
android.sensor.accelerometer,1539034829954,85012391143117,1.7771046,3.8559816,9.206455
android.sensor.accelerometer,1539034829974,85012411085005,1.3795313,4.014053,8.650811
android.sensor.accelerometer,1539034829993,85012431026765,2.0357666,3.9422023,8.382568
android.sensor.accelerometer,1539034830013,85012450978911,2.4956105,3.923042,8.8951025
android.sensor.accelerometer,1539034830033,85012470921055,2.5530908,3.9182522,9.474698
android.sensor.accelerometer,1539034830053,85012490863071,2.6249416,3.8559816,10.025552
