Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539034812907,84995340797146,0.09956996,-0.2564458,0.065128006
android.sensor.gyroscope,1539034812920,84995360738906,0.03512146,-0.10943932,0.04062692
android.sensor.gyroscope,1539034812940,84995380678203,-0.012815441,0.018925048,0.07950907
android.sensor.gyroscope,1539034812960,84995400619963,0.0026308938,0.037567176,0.1412944
android.sensor.gyroscope,1539034812981,84995420561595,0.004238991,-0.0013036613,0.1743147
android.sensor.gyroscope,1539034813002,84995440503355,-0.03198,-0.08812272,0.15567257
android.sensor.gyroscope,1539034813020,84995460445115,-0.06606846,-0.1504407,0.1034746
android.sensor.gyroscope,1539034813040,84995480385524,-0.10335272,-0.14085332,0.07737563
android.sensor.gyroscope,1539034813060,84995500327284,-0.12146221,-0.07747007,0.11039882
android.sensor.gyroscope,1539034813080,84995520268916,-0.11187483,0.02745848,0.14555256
android.sensor.gyroscope,1539034813100,84995540210676,-0.08577585,0.12972386,0.16845575
android.sensor.gyroscope,1539034813120,84995560152436,-0.08044953,0.09510277,0.15407467
android.sensor.gyroscope,1539034813140,84995580089752,-0.09056954,-0.08705745,0.10560513
android.sensor.gyroscope,1539034813160,84995600031384,-0.060742144,-0.19944286,0.08057142
android.sensor.gyroscope,1539034813180,84995619973016,-0.03943685,-0.19145337,0.08536511
android.sensor.gyroscope,1539034813200,84995639914648,-0.06553583,-0.110493265,0.13063885
android.sensor.gyroscope,1539034813221,84995659856280,-0.09056954,0.023730054,0.18976103
android.sensor.gyroscope,1539034813240,84995679796577,-0.1560833,0.01574057,0.15354204
android.sensor.gyroscope,1539034813260,84995699738081,-0.18963914,0.02745848,0.040091373
android.sensor.gyroscope,1539034813279,84995719679585,-0.058611613,0.17286707,-0.0701635
android.sensor.gyroscope,1539034813300,84995739621089,0.21729189,0.34437466,-0.09786037
android.sensor.gyroscope,1539034813319,84995759562593,0.5757534,0.54943806,-0.13780779
android.sensor.gyroscope,1539034813339,84995779512446,1.0359476,0.6341266,-0.2880101
android.sensor.gyroscope,1539034813359,84995799454078,1.5062618,0.52067596,-0.41584182
android.sensor.gyroscope,1539034813379,84995819395710,1.8103949,0.48498955,-0.42969027
android.sensor.gyroscope,1539034813399,84995839337342,1.9696519,0.57180864,-0.33328384
android.sensor.gyroscope,1539034813419,84995859278974,2.118256,0.59045076,-0.14366674
android.sensor.gyroscope,1539034813439,84995879223434,2.3036122,0.64211607,0.10720303
android.sensor.gyroscope,1539034813459,84995899165194,2.377648,0.79018784,0.38896546
android.sensor.gyroscope,1539034813479,84995919106826,2.306808,0.8844637,0.59828997
android.sensor.gyroscope,1539034813499,84995939048586,2.157671,0.84291846,0.65315104
android.sensor.gyroscope,1539034813519,84995958990346,2.0314372,0.706032,0.68937004
android.sensor.gyroscope,1539034813539,84995978939505,1.9733803,0.71189094,0.9034882
android.sensor.gyroscope,1539034813559,84995998881393,1.9430203,0.8024384,1.1793917
android.sensor.gyroscope,1539034813579,84996018823281,1.9025402,0.8823332,1.3040277
android.sensor.gyroscope,1539034813599,84996038765041,1.8237107,0.8983122,1.3120172
android.sensor.gyroscope,1539034813619,84996058706929,1.7416853,0.8487774,1.2981688
android.sensor.gyroscope,1539034813639,84996078650621,1.6878895,0.73426145,1.3626173
android.sensor.gyroscope,1539034813658,84996098592637,1.6889547,0.7518383,1.4877858
android.sensor.gyroscope,1539034813678,84996118534525,1.6623231,0.8615606,1.5256027
