Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034796329,84978769094374,7.3575,5.633086,3.3482375
android.sensor.accelerometer,1539034796349,84978789036812,7.2569094,5.728887,3.4296682
android.sensor.accelerometer,1539034796369,84978808986727,7.084468,5.719307,3.0416749
android.sensor.accelerometer,1539034796389,84978828928743,7.213799,5.724097,2.3998096
android.sensor.accelerometer,1539034796410,84978848870759,7.199429,5.8055277,2.2225783
android.sensor.accelerometer,1539034796429,84978868812775,6.706055,6.0258694,2.682422
android.sensor.accelerometer,1539034796448,84978888754791,6.696475,6.0019193,3.2620168
android.sensor.accelerometer,1539034796469,84978908699531,7.28565,5.9252787,3.3817677
android.sensor.accelerometer,1539034796489,84978928641675,7.697593,5.829478,3.5063088
android.sensor.accelerometer,1539034796509,84978948583691,7.7550735,5.5660257,3.7937112
android.sensor.accelerometer,1539034796528,84978968525835,7.4772515,5.465435,3.5733693
android.sensor.accelerometer,1539034796548,84978988467851,7.391031,5.5372853,2.9027638
android.sensor.accelerometer,1539034796568,84979008399065,7.8652444,5.5468655,2.4860303
android.sensor.accelerometer,1539034796588,84979028340953,8.272398,5.5229154,2.42855
android.sensor.accelerometer,1539034796608,84979048282713,8.056846,5.5803957,2.4956105
android.sensor.accelerometer,1539034796628,84979068224601,7.807764,5.6570363,2.4716604
android.sensor.accelerometer,1539034796648,84979088166489,8.047266,5.6618266,2.208208
android.sensor.accelerometer,1539034796673,84979108105341,8.842413,5.7863674,1.7914747
android.sensor.accelerometer,1539034796688,84979128047101,9.378897,5.5947657,1.6381935
android.sensor.accelerometer,1539034796708,84979147988989,9.206455,5.4127445,1.1112891
android.sensor.accelerometer,1539034796734,84979167930749,9.498648,4.981641,0.6706055
android.sensor.accelerometer,1539034796748,84979187872637,10.442286,4.622388,-0.5412744
android.sensor.accelerometer,1539034796768,84979207803657,10.106983,4.9337406,-3.3338673
android.sensor.accelerometer,1539034796787,84979227745161,8.411309,5.2355127,-5.360054
android.sensor.accelerometer,1539034796807,84979247686793,8.703502,5.249883,-5.858218
android.sensor.accelerometer,1539034796827,84979267628297,10.835069,4.3254056,-5.2355127
android.sensor.accelerometer,1539034796847,84979287569801,11.400293,3.894302,-5.6282964
android.sensor.accelerometer,1539034796867,84979307504496,10.126143,3.9469924,-5.824688
android.sensor.accelerometer,1539034796887,84979327446000,9.144185,3.9805226,-3.899092
android.sensor.accelerometer,1539034796908,84979347387376,8.5119,3.9948928,-1.2645704
android.sensor.accelerometer,1539034796929,84979367328880,8.262817,3.9757326,0.7232959
android.sensor.accelerometer,1539034796948,84979387270384,8.310719,3.9517825,1.5136524
android.sensor.accelerometer,1539034796968,84979407212484,8.59333,3.779341,1.8681153
android.sensor.accelerometer,1539034796989,84979427153988,8.823253,3.6500099,1.3028907
android.sensor.accelerometer,1539034797009,84979447095364,8.320298,3.4009278,1.695674
android.sensor.accelerometer,1539034797029,84979467036868,7.697593,3.1087356,2.9985645
android.sensor.accelerometer,1539034797049,84979486978244,7.434141,3.151846,2.9602442
android.sensor.accelerometer,1539034797069,84979506925538,7.6592727,2.9410841,3.2332766
android.sensor.accelerometer,1539034797088,84979526867042,7.8987746,2.5914114,4.3397756
android.sensor.accelerometer,1539034797109,84979546808674,7.798184,2.7015822,4.119434
android.sensor.accelerometer,1539034797128,84979566750178,7.9466753,2.7159522,3.5877395
android.sensor.accelerometer,1539034797148,84979586691682,8.267608,2.668052,4.406836
android.sensor.accelerometer,1539034797168,84979606631211,7.668853,3.0416749,5.120552
android.sensor.accelerometer,1539034797188,84979626572715,6.8832865,3.391348,5.604346
android.sensor.accelerometer,1539034797209,84979646514091,6.13604,3.5637891,6.4282327
android.sensor.accelerometer,1539034797228,84979666455595,5.479805,3.8751419,7.2281694
android.sensor.accelerometer,1539034797248,84979686397099,5.824688,4.1002736,7.999366
android.sensor.accelerometer,1539034797268,84979706345685,6.6773148,3.6548,8.919053
android.sensor.accelerometer,1539034797288,84979726287189,7.5203614,3.0608351,9.74294
android.sensor.accelerometer,1539034797308,84979746228821,7.4006104,2.7782228,9.316627
android.sensor.accelerometer,1539034797328,84979766170325,5.9252787,3.0799952,9.105865
android.sensor.accelerometer,1539034797348,84979786111829,4.8283596,3.0847852,10.432706
android.sensor.accelerometer,1539034797368,84979806063596,4.2248144,2.7159522,11.280542
android.sensor.accelerometer,1539034797388,84979826005356,4.152964,2.083667,10.581197
android.sensor.accelerometer,1539034797408,84979845947116,4.119434,2.562671,9.958491
android.sensor.accelerometer,1539034797436,84979865888748,4.5313773,2.4668703,9.278306
android.sensor.accelerometer,1539034797448,84979885830508,7.0078273,1.1064991,8.56938
android.sensor.accelerometer,1539034797468,84979905778771,9.580078,-0.038320314,8.147857
android.sensor.accelerometer,1539034797487,84979925720659,9.177715,0.33530274,7.4580913
android.sensor.accelerometer,1539034797507,84979945662547,7.1706886,1.1304493,7.2904396
android.sensor.accelerometer,1539034797528,84979965604435,7.913145,0.17723145,7.568262
android.sensor.accelerometer,1539034797548,84979985546323,9.584868,-0.67539555,6.816226
android.sensor.accelerometer,1539034797568,84980005497579,9.68067,0.34009278,5.101392
android.sensor.accelerometer,1539034797587,84980025439723,7.893985,0.6658155,5.096602
android.sensor.accelerometer,1539034797607,84980045381867,8.459209,-0.68976563,6.6294146
android.sensor.accelerometer,1539034797627,84980065324011,11.745176,-1.3843213,6.792276
android.sensor.accelerometer,1539034797647,84980085266155,12.003839,-0.26345217,4.4212065
android.sensor.accelerometer,1539034797667,84980105208328,11.266172,-0.35925296,2.9602442
android.sensor.accelerometer,1539034797687,84980125150600,12.549903,-1.2981006,3.1087356
android.sensor.accelerometer,1539034797706,84980145092744,15.2610655,-1.8729054,2.6057813
android.sensor.accelerometer,1539034797727,84980165034888,14.868282,-0.847837,0.7185059
android.sensor.accelerometer,1539034797747,84980184977032,13.34505,-0.71371585,-1.575923
android.sensor.accelerometer,1539034797767,84980204916104,14.394068,-0.60354495,-2.1267774
android.sensor.accelerometer,1539034797787,84980224858248,15.89814,-0.09580079,-1.9687061
android.sensor.accelerometer,1539034797807,84980244800392,13.900694,0.42152345,-2.9985645
android.sensor.accelerometer,1539034797827,84980264742408,11.606265,0.8861573,-4.2248144
android.sensor.accelerometer,1539034797847,84980284684552,11.989469,1.1735597,-3.4009278
android.sensor.accelerometer,1539034797865,84980304634138,12.564273,1.5950831,-1.5663428
android.sensor.accelerometer,1539034797884,84980324576410,11.266172,2.078877,-0.97237796
android.sensor.accelerometer,1539034797904,84980344518682,10.887759,2.0932472,-1.5423926
android.sensor.accelerometer,1539034797924,84980364460954,11.505674,1.7579445,-1.7627344
android.sensor.accelerometer,1539034797945,84980384403226,11.596685,1.3843213,-1.9687061
android.sensor.accelerometer,1539034797966,84980404349728,11.074571,1.3891114,-3.1614258
