Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539034775835,84958268839204,0.023392752,-0.00878381,0.07312057
android.sensor.gyroscope,1539034775849,84958288781092,4.895646E-4,0.056197323,0.034771055
android.sensor.gyroscope,1539034775869,84958308725680,0.016468532,0.042348884,-0.0019805692
android.sensor.gyroscope,1539034775888,84958328667696,0.05215489,0.021576226,-0.042460617
android.sensor.gyroscope,1539034775908,84958348609712,0.0638728,0.06471944,-0.0701575
android.sensor.gyroscope,1539034775928,84958368551856,0.07985177,0.13449426,-0.046189044
android.sensor.gyroscope,1539034775948,84958388493872,0.1134076,0.09401421,-0.003578466
android.sensor.gyroscope,1539034775968,84958408437326,0.15814869,-0.07056915,0.055543713
android.sensor.gyroscope,1539034775988,84958428379470,0.13577814,-0.124365,0.069392145
android.sensor.gyroscope,1539034776008,84958448321486,0.06600333,-0.06098177,0.0289121
android.sensor.gyroscope,1539034776028,84958468263630,0.040436983,-0.07323231,0.01932472
android.sensor.gyroscope,1539034776050,84958488205646,0.07399281,-0.1936072,0.028379468
android.sensor.gyroscope,1539034776069,84958508146912,0.10861391,-0.21651039,0.051282655
android.sensor.gyroscope,1539034776088,84958528089056,0.09476547,-0.10199445,0.08111005
android.sensor.gyroscope,1539034776108,84958548031072,0.043632776,-0.0034574885,0.11466589
android.sensor.gyroscope,1539034776128,84958567973216,0.043632776,-0.031686995,0.102415346
android.sensor.gyroscope,1539034776148,84958587915360,0.083580196,-0.099863924,0.06992478
android.sensor.gyroscope,1539034776168,84958607857504,0.026065512,-0.055112164,0.14182737
android.sensor.gyroscope,1539034776189,84958627798393,-0.1443768,0.2570103,0.30161706
android.sensor.gyroscope,1539034776207,84958647740537,-0.33026546,0.6927035,0.40920877
android.sensor.gyroscope,1539034776227,84958667682681,-0.27646962,0.7001603,0.4145351
android.sensor.gyroscope,1539034776247,84958687624697,0.06334977,0.09402486,0.3389013
android.sensor.gyroscope,1539034776267,84958707566841,0.24551,-0.50731695,0.14022948
android.sensor.gyroscope,1539034776287,84958727505236,0.06334977,-0.29905772,-0.007309636
android.sensor.gyroscope,1539034776307,84958747447252,-0.05595985,0.47911796,0.08590101
android.sensor.gyroscope,1539034776327,84958767389268,0.16348463,0.7172046,0.23503803
android.sensor.gyroscope,1539034776347,84958787331284,0.12087405,0.14995125,0.15727371
android.sensor.gyroscope,1539034776367,84958807273300,-0.53692675,-0.3480599,-0.07335603
android.sensor.gyroscope,1539034776387,84958827216309,-1.7838188,-0.038600564,-0.2810826
android.sensor.gyroscope,1539034776407,84958847158325,-2.743622,0.7891099,-0.24539624
android.sensor.gyroscope,1539034776427,84958867100341,-3.2160668,1.009087,-0.17828459
android.sensor.gyroscope,1539034776447,84958887042357,-3.440305,0.29855564,-0.28481102
android.sensor.gyroscope,1539034776467,84958906984501,-3.4541533,-0.54087275,-0.6177062
android.sensor.gyroscope,1539034776487,84958926930337,-3.341768,-1.0436776,-1.0352899
android.sensor.gyroscope,1539034776507,84958946872481,-3.3454964,-1.2194462,-1.1583278
android.sensor.gyroscope,1539034776526,84958966814625,-3.5841157,-1.2279683,-0.9809613
android.sensor.gyroscope,1539034776546,84958986756769,-3.8818572,-1.1613894,-0.86484754
android.sensor.gyroscope,1539034776566,84959006698785,-4.1369877,-1.0660481,-0.96817815
android.sensor.gyroscope,1539034776587,84959026636205,-4.1865225,-1.1608567,-1.1791005
android.sensor.gyroscope,1539034776606,84959046578221,-3.6933053,-1.613594,-1.3958819
android.sensor.gyroscope,1539034776626,84959066520237,-2.8032768,-2.0764515,-1.398545
android.sensor.gyroscope,1539034776646,84959086462253,-2.0272317,-2.052483,-1.1860248
android.sensor.gyroscope,1539034776666,84959106404269,-1.5627764,-1.3701812,-0.7870832
android.sensor.gyroscope,1539034776688,84959126345242,-1.0929834,-0.62927705,-0.3146417
android.sensor.gyroscope,1539034776706,84959146287130,-0.37978885,-0.23566185,0.13756308
android.sensor.gyroscope,1539034776726,84959166229146,0.32861203,-0.073741645,0.51573193
