Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034869286,85051716786954,3.175796,8.679551,4.047583
android.sensor.accelerometer,1539034869297,85051736728842,3.271597,8.650811,4.1625443
android.sensor.accelerometer,1539034869316,85051756670858,3.2380664,8.6077,4.3206153
android.sensor.accelerometer,1539034869336,85051776612746,3.166216,8.617281,4.368516
android.sensor.accelerometer,1539034869356,85051796554762,3.2189064,8.631651,4.3158255
android.sensor.accelerometer,1539034869376,85051816497107,3.1470559,8.684341,4.133804
android.sensor.accelerometer,1539034869396,85051836438995,3.0799952,8.650811,4.061953
android.sensor.accelerometer,1539034869416,85051856381011,3.1278956,8.617281,4.2104445
android.sensor.accelerometer,1539034869436,85051876322899,3.0129347,8.52627,4.2008643
android.sensor.accelerometer,1539034869456,85051896264915,2.9985645,8.650811,4.2008643
android.sensor.accelerometer,1539034869476,85051916208924,3.151846,8.684341,3.9517825
android.sensor.accelerometer,1539034869497,85051936150812,3.0752053,8.669971,3.63564
android.sensor.accelerometer,1539034869516,85051956092828,2.8548634,8.756192,3.4775686
android.sensor.accelerometer,1539034869536,85051976034716,2.8788135,8.952583,3.558999
android.sensor.accelerometer,1539034869556,85051995976732,2.8404932,9.589659,3.899092
android.sensor.accelerometer,1539034869576,85052015926317,1.5519727,12.324771,4.138594
android.sensor.accelerometer,1539034869596,85052035868461,-0.3065625,16.808249,4.0906935
android.sensor.accelerometer,1539034869616,85052055810605,3.3338673,21.239035,6.701265
android.sensor.accelerometer,1539034869635,85052075752621,10.844649,23.399342,12.746294
android.sensor.accelerometer,1539034869655,85052095694765,16.022682,23.20295,16.314875
android.sensor.accelerometer,1539034869675,85052115638518,17.402212,20.333717,15.217955
android.sensor.accelerometer,1539034869695,85052135580790,16.118483,15.80713,12.866045
android.sensor.accelerometer,1539034869715,85052155522934,11.840977,10.427916,11.160791
android.sensor.accelerometer,1539034869735,85052175465206,7.1132083,5.7719975,8.090376
android.sensor.accelerometer,1539034869755,85052195407350,3.1183155,2.787803,2.8404932
android.sensor.accelerometer,1539034869775,85052215349317,-0.5939649,1.0106983,-2.1219873
android.sensor.accelerometer,1539034869795,85052235291589,-2.955454,-0.24908204,-3.8655617
android.sensor.accelerometer,1539034869815,85052255233733,-4.047583,-1.092129,-3.1231055
android.sensor.accelerometer,1539034869835,85052275175877,-4.7469287,-2.1028273,-1.2693604
android.sensor.accelerometer,1539034869855,85052295118021,-4.296665,-3.0895753,-0.1101709
android.sensor.accelerometer,1539034869875,85052315056465,-3.5973196,-4.1625443,-1.0825489
android.sensor.accelerometer,1539034869895,85052334998609,-4.5936475,-5.2882032,-3.0368848
android.sensor.accelerometer,1539034869915,85052354940753,-5.704937,-6.7300053,-4.0667434
android.sensor.accelerometer,1539034869935,85052374882897,-4.646338,-7.9849954,-4.8906302
android.sensor.accelerometer,1539034869955,85052394825041,-2.5243506,-8.847202,-3.3386574
android.sensor.accelerometer,1539034869975,85052414767014,-0.6179151,-9.134604,-1.5663428
android.sensor.accelerometer,1539034869994,85052434709158,1.8345851,-8.133487,-1.1304493
android.sensor.accelerometer,1539034870014,85052454651302,2.1315675,-5.8677983,-1.3747413
android.sensor.accelerometer,1539034870035,85052474593446,-2.1124072,-4.023633,-1.2358302
android.sensor.accelerometer,1539034870059,85052494535462,-4.1625443,-1.5519727,-1.2022998
android.sensor.accelerometer,1539034870074,85052514483506,-2.7686427,3.0368848,-2.6297317
android.sensor.accelerometer,1539034870094,85052534425778,2.692002,7.9849954,-4.6846585
android.sensor.accelerometer,1539034870120,85052554368050,10.183623,11.175161,-0.6322852
android.sensor.accelerometer,1539034870134,85052574310322,15.409556,13.919854,9.057964
android.sensor.accelerometer,1539034870154,85052594252594,22.771847,17.833317,19.57689
android.sensor.accelerometer,1539034870174,85052614193336,21.339624,21.93359,25.942852
android.sensor.accelerometer,1539034870194,85052634135608,14.408438,24.481892,24.821983
android.sensor.accelerometer,1539034870214,85052654077880,12.463682,25.966803,20.75045
android.sensor.accelerometer,1539034870234,85052674020152,13.565392,26.393116,18.120718
android.sensor.accelerometer,1539034870254,85052693962424,14.403648,24.726183,16.937578
android.sensor.accelerometer,1539034870274,85052713903099,15.208375,21.502487,15.629898
android.sensor.accelerometer,1539034870294,85052733845243,13.186978,18.20694,10.97877
android.sensor.accelerometer,1539034870314,85052753787515,10.801538,14.767691,6.638994
android.sensor.accelerometer,1539034870334,85052773729787,8.784932,10.99314,6.586304
android.sensor.accelerometer,1539034870353,85052793671931,6.758745,7.32397,7.070098
android.sensor.accelerometer,1539034870373,85052813613447,4.976851,4.282295,6.2653713
android.sensor.accelerometer,1539034870393,85052833555719,3.1326857,2.2752686,4.1864944
android.sensor.accelerometer,1539034870413,85052853497991,1.3172607,1.0873389,1.1064991
android.sensor.accelerometer,1539034870433,85052873440263,-1.0442286,0.68976563,-0.9867481
android.sensor.accelerometer,1539034870453,85052893382407,-3.396138,0.1101709,-2.4045997
android.sensor.accelerometer,1539034870473,85052913327439,-4.129014,-0.19639161,-2.572251
android.sensor.accelerometer,1539034870493,85052933269711,-3.8176613,0.12454102,-2.5770411
android.sensor.accelerometer,1539034870513,85052953212111,-2.9650342,0.7089258,-1.7962648
android.sensor.accelerometer,1539034870534,85052973154383,-3.2141163,1.8729054,0.05269043
android.sensor.accelerometer,1539034870554,85052993096655,-2.4141798,2.2129982,2.203418
android.sensor.accelerometer,1539034870573,85053013032935,-1.2310401,2.7399025,2.8836036
android.sensor.accelerometer,1539034870593,85053032975079,-0.7664063,3.8751419,2.0070264
android.sensor.accelerometer,1539034870613,85053052917223,-0.34488282,4.6750784,0.97237796
android.sensor.accelerometer,1539034870633,85053072859367,-0.56522465,6.318062,0.6322852
android.sensor.accelerometer,1539034870653,85053092801511,1.2981006,7.3718705,3.8128712
android.sensor.accelerometer,1539034870673,85053112737779,3.2476466,8.243657,7.079678
android.sensor.accelerometer,1539034870693,85053132679795,2.5962012,9.417217,7.8269243
android.sensor.accelerometer,1539034870712,85053152621811,1.6334034,10.370435,6.255791
android.sensor.accelerometer,1539034870732,85053172563827,2.567461,10.859019,4.9720607
android.sensor.accelerometer,1539034870753,85053192505843,3.5637891,11.06978,5.3408937
android.sensor.accelerometer,1539034870774,85053212444811,3.2236965,10.93087,6.9024467
android.sensor.accelerometer,1539034870795,85053232386699,2.198628,10.715318,6.5240335
android.sensor.accelerometer,1539034870814,85053252328587,1.336421,9.953702,5.9540186
android.sensor.accelerometer,1539034870835,85053272270475,1.9160157,9.74773,6.6246243
android.sensor.accelerometer,1539034870854,85053292212363,3.1566358,9.74773,7.831714
android.sensor.accelerometer,1539034870874,85053312151758,3.923042,9.335787,7.8365045
android.sensor.accelerometer,1539034870894,85053332088953,3.774551,8.828042,7.3096
android.sensor.accelerometer,1539034870914,85053352030841,2.6584718,9.206455,7.175479
android.sensor.accelerometer,1539034870934,85053371972601,2.2513185,8.890313,6.0593996
android.sensor.accelerometer,1539034870954,85053391914489,2.4716604,8.679551,5.6187162
android.sensor.accelerometer,1539034870974,85053411859345,2.7542725,8.334668,6.06419
android.sensor.accelerometer,1539034870994,85053431801233,2.5770411,8.023315,6.7635355
android.sensor.accelerometer,1539034871014,85053451743121,2.2848487,8.032896,6.9790874
android.sensor.accelerometer,1539034871034,85053471685009,2.189048,8.071217,6.3803325
android.sensor.accelerometer,1539034871055,85053491626897,2.0022364,8.013736,6.1791506
android.sensor.accelerometer,1539034871073,85053511572782,1.6238233,7.8556643,6.365962
android.sensor.accelerometer,1539034871093,85053531514670,1.3843213,7.8987746,6.09293
android.sensor.accelerometer,1539034871113,85053551456686,1.2837305,7.975415,5.743257
android.sensor.accelerometer,1539034871134,85053571398574,1.6525636,8.013736,5.575606
android.sensor.accelerometer,1539034871151,85053591340590,2.318379,7.9227247,5.6905665
android.sensor.accelerometer,1539034871171,85053611287671,2.3471193,8.1143265,5.6570363
android.sensor.accelerometer,1539034871191,85053631229815,2.184258,8.157437,5.695357
android.sensor.accelerometer,1539034871211,85053651171831,1.9447559,8.190968,5.7719975
android.sensor.accelerometer,1539034871231,85053671113975,1.8154249,8.214917,5.230723
android.sensor.accelerometer,1539034871251,85053691056119,1.8824854,8.157437,4.6894484
android.sensor.accelerometer,1539034871271,85053710994947,1.9016455,8.162227,4.6990285
