Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539034846097,85028524216644,-0.22583292,0.4317543,0.047008388
android.sensor.gyroscope,1539034846108,85028544159117,-0.12143701,0.3129773,0.14341481
android.sensor.gyroscope,1539034846124,85028564101517,-0.07350011,0.17023188,0.111456886
android.sensor.gyroscope,1539034846144,85028584043917,-0.06764116,0.050922256,0.05286734
android.sensor.gyroscope,1539034846165,85028603986317,-0.0980012,-0.008199923,0.039018903
android.sensor.gyroscope,1539034846185,85028623928717,-0.1278286,0.027486438,0.01877888
android.sensor.gyroscope,1539034846206,85028643866734,-0.12303491,0.02322538,0.012387292
android.sensor.gyroscope,1539034846226,85028663809006,-0.0830875,-0.05613682,0.028898891
android.sensor.gyroscope,1539034846246,85028683751278,0.0159821,-0.10940005,0.016115718
android.sensor.gyroscope,1539034846265,85028703693678,0.17736967,-0.14934745,-0.008385364
android.sensor.gyroscope,1539034846285,85028723635950,0.30094033,-0.15627168,-0.03821277
android.sensor.gyroscope,1539034846305,85028743578862,0.29774457,-0.15786958,-0.07443176
android.sensor.gyroscope,1539034846325,85028763521134,0.2045339,-0.1466843,-0.07656229
android.sensor.gyroscope,1539034846345,85028783463534,0.11132327,-0.08969266,-0.014244318
android.sensor.gyroscope,1539034846365,85028803405806,0.041548446,-0.024178889,0.080564216
android.sensor.gyroscope,1539034846386,85028823348206,-0.00798635,-0.013526245,0.14927377
android.sensor.gyroscope,1539034846406,85028843289867,-0.031422168,-0.039625224,0.18176433
android.sensor.gyroscope,1539034846425,85028863232139,0.007459985,-0.01725467,0.24781074
android.sensor.gyroscope,1539034846445,85028883174539,0.06604953,-0.014591509,0.30267188
android.sensor.gyroscope,1539034846465,85028903116811,0.07084322,-0.09555161,0.3628593
android.sensor.gyroscope,1539034846485,85028923059211,0.029830538,-0.36772668,0.44009098
android.sensor.gyroscope,1539034846505,85028942998486,-0.15659074,-0.7821145,0.4518089
android.sensor.gyroscope,1539034846525,85028962940630,-0.4340921,-1.0132769,0.2158528
android.sensor.gyroscope,1539034846545,85028982882902,0.29987508,-0.6201943,-0.5862914
android.sensor.gyroscope,1539034846564,85029002825174,1.7289273,-0.051875766,-1.7000253
android.sensor.gyroscope,1539034846585,85029022767446,2.4256103,0.29540044,-2.8414562
android.sensor.gyroscope,1539034846605,85029042709909,2.5720842,0.37423,-3.767171
android.sensor.gyroscope,1539034846624,85029062652181,2.589661,0.32735837,-4.280628
android.sensor.gyroscope,1539034846644,85029082594453,2.4138923,0.15318765,-4.212984
android.sensor.gyroscope,1539034846665,85029102536725,2.144913,0.13561079,-4.0169754
android.sensor.gyroscope,1539034846684,85029122478997,1.635184,0.16756871,-3.646796
android.sensor.gyroscope,1539034846705,85029142411517,0.9251853,0.32895628,-2.903774
android.sensor.gyroscope,1539034846724,85029162353533,0.3776394,0.72150624,-2.0371814
android.sensor.gyroscope,1539034846744,85029182287858,0.064451635,0.60752296,-1.4608735
android.sensor.gyroscope,1539034846764,85029202230002,0.21625182,-0.12324849,-1.2760501
android.sensor.gyroscope,1539034846784,85029222172018,0.57205015,-1.0803885,-1.0219845
android.sensor.gyroscope,1539034846804,85029242108493,0.78190726,-1.6684146,-0.42117533
android.sensor.gyroscope,1539034846824,85029262050381,0.8143978,-1.3365847,0.17590538
android.sensor.gyroscope,1539034846843,85029281992269,0.76859146,-0.23563388,0.75753975
android.sensor.gyroscope,1539034846864,85029301934157,0.35739934,1.1337636,1.8819264
android.sensor.gyroscope,1539034846883,85029321876045,-0.61625236,1.5896968,3.2380083
android.sensor.gyroscope,1539034846904,85029341817232,-1.178712,0.99208343,4.340557
android.sensor.gyroscope,1539034846923,85029361759120,-1.2383668,1.1630584,5.3408403
android.sensor.gyroscope,1539034846943,85029381701008,-1.8056202,1.7111369,6.308633
android.sensor.gyroscope,1539034846963,85029401642896,-3.1654303,1.4895619,7.1113095
android.sensor.gyroscope,1539034846983,85029421584784,-4.7201834,1.1801026,7.28335
android.sensor.gyroscope,1539034847003,85029441532126,-5.535111,1.6802442,6.3656244
android.sensor.gyroscope,1539034847023,85029461474142,-5.474923,3.1140902,4.6782455
android.sensor.gyroscope,1539034847044,85029481416158,-4.739891,3.7910657,2.602578
android.sensor.gyroscope,1539034847063,85029501358174,-3.0812743,3.059229,0.83210826
android.sensor.gyroscope,1539034847083,85029521300190,-1.1611352,2.686919,0.14554535
android.sensor.gyroscope,1539034847103,85029541241305,0.30147296,3.4160926,0.02836626
android.sensor.gyroscope,1539034847123,85029561183193,1.6596851,3.718095,-0.14154342
android.sensor.gyroscope,1539034847143,85029581125081,2.8176277,2.7689445,-0.5340934
android.sensor.gyroscope,1539034847162,85029601066969,3.437079,2.1532216,-0.8829675
android.sensor.gyroscope,1539034847182,85029621008857,3.7374835,2.1585479,-0.9181212
android.sensor.gyroscope,1539034847203,85029640954230,3.5292242,2.223529,-0.82597584
android.sensor.gyroscope,1539034847225,85029660896246,2.3915217,1.6184589,-0.5319629
android.sensor.gyroscope,1539034847244,85029680838262,1.0199938,1.2791722,-0.12982552
android.sensor.gyroscope,1539034847263,85029700780278,-0.037281122,1.6621348,0.092282124
android.sensor.gyroscope,1539034847283,85029720722294,-0.83889264,1.5561409,0.18496013
android.sensor.gyroscope,1539034847303,85029740663231,-1.3667312,1.5305746,0.2781708
android.sensor.gyroscope,1539034847322,85029760605119,-1.6570158,1.9550825,0.35859826
android.sensor.gyroscope,1539034847342,85029780547135,-1.9568877,2.2245944,0.2994761
android.sensor.gyroscope,1539034847362,85029800489023,-2.3174798,2.0243247,0.12583795
android.sensor.gyroscope,1539034847382,85029820431039,-2.1811259,1.880514,0.13436007
android.sensor.gyroscope,1539034847402,85029840374871,-1.5584788,1.6285789,0.41612253
android.sensor.gyroscope,1539034847422,85029860317015,-1.0663266,0.88822013,0.53276896
android.sensor.gyroscope,1539034847442,85029880259031,-0.9949539,0.19526559,0.23769072
android.sensor.gyroscope,1539034847462,85029900201047,-0.98057276,0.22775616,-0.056854896
android.sensor.gyroscope,1539034847482,85029920143063,-0.91559166,0.5883482,-0.11011812
android.sensor.gyroscope,1539034847502,85029940084579,-0.82824,1.2269742,-0.037147503
android.sensor.gyroscope,1539034847522,85029960026595,-0.9315706,1.544423,0.17324223
android.sensor.gyroscope,1539034847542,85029979968611,-1.3086743,1.5433577,0.4368952
android.sensor.gyroscope,1539034847561,85029999910627,-1.7310517,1.4533429,0.53703004
android.sensor.gyroscope,1539034847582,85030019852643,-1.7534223,1.1092625,0.37990355
android.sensor.gyroscope,1539034847602,85030039802284,-1.1552762,0.6394809,0.19827594
android.sensor.gyroscope,1539034847622,85030059744428,-0.3872205,-0.0087325545,0.116250575
android.sensor.gyroscope,1539034847641,85030079686700,0.25300342,-0.38530356,0.0571284
android.sensor.gyroscope,1539034847661,85030099628844,0.45060998,-0.29262555,-0.07230124
android.sensor.gyroscope,1539034847682,85030119570988,0.25140554,0.05624858,-0.044071723
android.sensor.gyroscope,1539034847701,85030139508731,-0.037281122,0.121762335,0.011322029
android.sensor.gyroscope,1539034847723,85030159450875,-0.092682675,0.046652544,-0.030221056
android.sensor.gyroscope,1539034847741,85030179393019,0.05006276,-0.23191412,-0.09786534
android.sensor.gyroscope,1539034847761,85030199335035,0.19227557,-0.3608111,-0.13301907
android.sensor.gyroscope,1539034847781,85030219277179,0.2077219,-0.043894935,-0.08668007
android.sensor.gyroscope,1539034847801,85030239215768,0.06817226,0.3305455,-0.044602126
android.sensor.gyroscope,1539034847821,85030259157912,-0.013320471,0.4344088,0.017715845
android.sensor.gyroscope,1539034847841,85030279099928,0.08308596,0.19738746,0.04221693
android.sensor.gyroscope,1539034847860,85030299041944,0.3019978,-0.030046497,0.02890112
android.sensor.gyroscope,1539034847879,85030318983960,0.5368886,0.037597798,-9.262831E-4
android.sensor.gyroscope,1539034847899,85030338921258,0.48575592,0.028543048,-0.013176825
android.sensor.gyroscope,1539034847919,85030358863274,0.20825455,0.29113075,-0.030221056
android.sensor.gyroscope,1539034847938,85030378805162,-0.13689114,0.49406362,-0.06058109
android.sensor.gyroscope,1539034847958,85030398747178,-0.30893135,0.457312,-0.00731787
