Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539034565266,84747706772497,4.181704,-7.414981,-4.0763235
android.sensor.accelerometer,1539034565286,84747726713105,3.903882,-7.5874224,-4.718189
android.sensor.accelerometer,1539034565306,84747746653713,3.779341,-7.683223,-5.1924024
android.sensor.accelerometer,1539034565326,84747766594193,3.7362306,-7.553892,-5.230723
android.sensor.accelerometer,1539034565346,84747786534801,3.8272414,-7.568262,-4.9385304
android.sensor.accelerometer,1539034565366,84747806478876,4.296665,-7.544312,-4.9720607
android.sensor.accelerometer,1539034565386,84747826419484,4.7229786,-7.414981,-5.4175344
android.sensor.accelerometer,1539034565406,84747846360092,4.7086086,-7.4197707,-5.609136
android.sensor.accelerometer,1539034565426,84747866300700,4.6511283,-7.429351,-5.2929935
android.sensor.accelerometer,1539034565446,84747886241308,4.4643164,-7.462881,-4.9433208
android.sensor.accelerometer,1539034565466,84747906183348,4.430786,-7.577842,-4.9529004
android.sensor.accelerometer,1539034565486,84747926123956,4.3062453,-7.654483,-5.589976
android.sensor.accelerometer,1539034565506,84747946064692,4.071533,-7.534732,-6.0593996
android.sensor.accelerometer,1539034565526,84747966005300,4.258345,-7.103628,-6.423443
android.sensor.accelerometer,1539034565546,84747985946036,4.2200246,-6.8928666,-7.117998
android.sensor.accelerometer,1539034565566,84748005889990,3.3817677,-6.605464,-8.277188
android.sensor.accelerometer,1539034565586,84748025830726,1.695674,-6.672525,-10.408755
android.sensor.accelerometer,1539034565606,84748045771334,0.8909473,-7.060518,-10.882969
android.sensor.accelerometer,1539034565625,84748065712070,1.2741505,-7.1084185,-9.80521
android.sensor.accelerometer,1539034565645,84748085652806,1.8585353,-7.0365677,-9.522598
android.sensor.accelerometer,1539034565666,84748105595827,0.96758795,-6.983877,-8.689131
android.sensor.accelerometer,1539034565685,84748125536691,0.28261232,-6.437813,-5.8103175
android.sensor.accelerometer,1539034565706,84748145477427,0.20118165,-5.6666164,-2.5914114
android.sensor.accelerometer,1539034565725,84748165418291,0.38320315,-4.9624805,-0.3544629
android.sensor.accelerometer,1539034565745,84748185359155,1.101709,-4.8044095,1.0394385
android.sensor.accelerometer,1539034565765,84748205304638,1.9926564,-5.877378,2.7446926
android.sensor.accelerometer,1539034565785,84748225245502,2.8788135,-7.070098,7.070098
android.sensor.accelerometer,1539034565805,84748245186366,5.4031644,-8.042476,12.846886
android.sensor.accelerometer,1539034565825,84748265127230,9.891431,-8.071217,17.545914
android.sensor.accelerometer,1539034565845,84748285068094,13.397739,-9.010064,17.747095
android.sensor.accelerometer,1539034565865,84748305013663,14.346168,-11.496095,14.920972
android.sensor.accelerometer,1539034565885,84748324954655,13.191768,-14.791641,11.079361
android.sensor.accelerometer,1539034565904,84748344895647,12.20023,-18.42728,6.485713
android.sensor.accelerometer,1539034565924,84748364836639,14.437179,-21.593496,0.34009278
android.sensor.accelerometer,1539034565944,84748384777631,15.9173,-24.108267,-3.0943654
android.sensor.accelerometer,1539034565965,84748404717044,9.733359,-27.355915,-1.2693604
android.sensor.accelerometer,1539034565984,84748424658036,8.320298,-30.277838,-1.1352394
android.sensor.accelerometer,1539034566004,84748444599028,17.526754,-30.56524,-4.129014
android.sensor.accelerometer,1539034566024,84748464539892,18.853594,-29.698244,-0.34009278
android.sensor.accelerometer,1539034566044,84748484480884,14.547349,-32.375874,-8.5502205
android.sensor.accelerometer,1539034566064,84748504421845,6.964717,-30.833483,-10.7871685
android.sensor.accelerometer,1539034566084,84748524362837,12.21939,-32.256123,8.813672
android.sensor.accelerometer,1539034566104,84748544303957,19.284698,-34.794846,8.6077
android.sensor.accelerometer,1539034566124,84748564244949,20.017574,-34.35895,-1.3555812
android.sensor.accelerometer,1539034566144,84748584185941,15.481407,-31.978302,-5.9875493
android.sensor.accelerometer,1539034566164,84748604127858,10.868599,-29.573702,-3.7122805
android.sensor.accelerometer,1539034566184,84748624068978,10.384805,-27.739117,-0.6562354
android.sensor.accelerometer,1539034566204,84748644009970,10.9069195,-25.957222,1.3172607
android.sensor.accelerometer,1539034566224,84748663951090,10.130933,-24.29987,1.710044
android.sensor.accelerometer,1539034566244,84748683892082,8.48316,-22.230572,0.92926764
android.sensor.accelerometer,1539034566264,84748703834335,6.638994,-19.58647,-0.5939649
android.sensor.accelerometer,1539034566284,84748723775455,4.6894484,-16.453785,-1.2454102
android.sensor.accelerometer,1539034566303,84748743716575,3.515889,-13.843213,0.11496094
android.sensor.accelerometer,1539034566324,84748763657695,3.0943654,-11.577525,0.3161426
android.sensor.accelerometer,1539034566343,84748783598687,2.6441016,-9.273516,-0.5364844
android.sensor.accelerometer,1539034566363,84748803540587,1.6669337,-6.8976564,-1.2933106
android.sensor.accelerometer,1539034566383,84748823481707,0.2778223,-4.5888577,-1.7723145
