Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1539034576555,84758993387049,0.34280887,-0.47542003,0.16062877
android.sensor.gyroscope,1539034576573,84759013328297,0.23628241,-0.55638015,0.0967129
android.sensor.gyroscope,1539034576593,84759033269417,0.047730602,-0.52868325,3.0647332E-4
android.sensor.gyroscope,1539034576613,84759053210665,-0.15680017,-0.48926845,-0.035379887
android.sensor.gyroscope,1539034576633,84759073140617,-0.30700245,-0.40884098,0.02107913
android.sensor.gyroscope,1539034576653,84759093081609,-0.2532066,-0.22241972,0.078070775
android.sensor.gyroscope,1539034576673,84759113022601,-0.12697276,-0.1260133,0.0817992
android.sensor.gyroscope,1539034576693,84759132963593,-0.042816874,-0.03812897,0.030666512
android.sensor.gyroscope,1539034576713,84759152904713,-0.067317955,0.039635334,-0.011411436
android.sensor.gyroscope,1539034576733,84759172835684,-0.081166394,0.05508167,0.012024382
android.sensor.gyroscope,1539034576752,84759192776420,-0.07690534,0.021525837,0.0024370023
android.sensor.gyroscope,1539034576773,84759212717156,-0.11365696,0.001818446,-0.010346171
android.sensor.gyroscope,1539034576794,84759232657892,-0.21379182,-0.0072363014,-0.022596711
android.sensor.gyroscope,1539034576812,84759252598756,-0.44069314,0.010873193,-0.04123884
android.sensor.gyroscope,1539034576833,84759272537730,-0.6809103,0.06360378,-0.041771475
android.sensor.gyroscope,1539034576852,84759292478338,-0.85081995,0.09609435,-0.08438205
android.sensor.gyroscope,1539034576872,84759312419343,-1.0143381,0.10834489,-0.106752604
android.sensor.gyroscope,1539034576892,84759332359951,-1.1688014,0.058810096,-0.009280907
android.sensor.gyroscope,1539034576912,84759352300687,-1.2715995,-0.2506492,0.09298448
android.sensor.gyroscope,1539034576932,84759372243739,-1.2540226,-0.68048346,0.10949608
android.sensor.gyroscope,1539034576952,84759392184475,-1.181052,-0.45091894,0.118018195
android.sensor.gyroscope,1539034576972,84759412125211,-1.3456354,0.9664154,0.21495727
android.sensor.gyroscope,1539034576992,84759432065947,-1.5863851,1.6641636,0.4865997
android.sensor.gyroscope,1539034577012,84759452006683,-1.5730693,0.31553885,0.6698252
android.sensor.gyroscope,1539034577034,84759471951751,-1.5027618,-1.218442,0.74066526
android.sensor.gyroscope,1539034577051,84759491892615,-1.6252673,-1.4336255,0.930815
android.sensor.gyroscope,1539034577073,84759511833351,-1.7355028,-1.1316016,1.0953928
android.sensor.gyroscope,1539034577091,84759531774087,-1.4068688,-1.2152249,1.0325422
android.sensor.gyroscope,1539034577111,84759551714951,-0.72296906,-1.6716907,0.8003146
android.sensor.gyroscope,1539034577131,84759571647507,-0.023090282,-1.9023205,0.43279836
android.sensor.gyroscope,1539034577151,84759591587987,0.62245995,-1.6056443,0.05196631
android.sensor.gyroscope,1539034577171,84759611528595,1.4853243,-0.79391277,-0.22340454
android.sensor.gyroscope,1539034577191,84759631469203,2.3583083,0.19465262,-0.4833291
android.sensor.gyroscope,1539034577211,84759651409683,3.0731008,1.1113127,-0.74272096
android.sensor.gyroscope,1539034577231,84759671356148,3.5940151,1.9976127,-0.6308682
android.sensor.gyroscope,1539034577251,84759691296756,3.8102639,2.5249186,-0.22873087
android.sensor.gyroscope,1539034577271,84759711237492,3.869386,2.3384972,-0.15362972
android.sensor.gyroscope,1539034577291,84759731178100,3.9524765,2.0215812,-0.525407
android.sensor.gyroscope,1539034577311,84759751118836,3.957803,1.8202462,-0.8045063
android.sensor.gyroscope,1539034577331,84759771066368,4.0547423,1.5342227,-0.68785983
android.sensor.gyroscope,1539034577351,84759791007104,4.0499487,0.9904052,-0.28146148
android.sensor.gyroscope,1539034577371,84759810947840,4.200151,0.514232,-0.14510761
android.sensor.gyroscope,1539034577391,84759830888576,5.180194,0.38746548,-0.37999845
android.sensor.gyroscope,1539034577411,84759850829440,6.48248,0.8412682,-0.51635224
android.sensor.gyroscope,1539034577431,84759870776015,7.1493354,1.7004039,-0.084920175
android.sensor.gyroscope,1539034577451,84759890716879,7.112051,1.4122499,0.79924935
android.sensor.gyroscope,1539034577470,84759910657743,6.783417,0.11102935,1.0426623
android.sensor.gyroscope,1539034577490,84759930598735,6.776493,-0.96542037,0.57341325
android.sensor.gyroscope,1539034577510,84759950539599,7.357062,-1.2381281,0.2847266
android.sensor.gyroscope,1539034577530,84759970488404,7.914728,-0.6122852,0.080195814
android.sensor.gyroscope,1539034577550,84759990429524,7.642553,1.1251612,-0.4417838
android.sensor.gyroscope,1539034577570,84760010370516,6.9016614,3.1289234,-1.0415276
android.sensor.gyroscope,1539034577591,84760030311636,6.5533075,4.0482335,-1.3829415
android.sensor.gyroscope,1539034577612,84760050252756,6.587396,3.7542205,-1.2774802
android.sensor.gyroscope,1539034577630,84760070194034,6.4995117,3.1310408,-0.9499115
android.sensor.gyroscope,1539034577650,84760090135154,6.143181,2.515318,-0.637789
android.sensor.gyroscope,1539034577670,84760110076274,5.5205336,1.8655065,-0.41355085
android.sensor.gyroscope,1539034577690,84760130017394,4.944226,1.3168954,-0.14616945
android.sensor.gyroscope,1539034577710,84760149958514,4.4968147,0.70330304,0.048773948
android.sensor.gyroscope,1539034577730,84760169902651,4.038218,0.038045425,0.016816013
android.sensor.gyroscope,1539034577749,84760189843771,3.404386,-0.3790056,-0.06414408
android.sensor.gyroscope,1539034577769,84760209785019,2.547381,-0.4056372,-0.040708266
android.sensor.gyroscope,1539034577789,84760229726139,1.7937063,-0.34704766,0.089786634
android.sensor.gyroscope,1539034577810,84760249667259,1.4299184,-0.6314733,0.16275725
android.sensor.gyroscope,1539034577830,84760269608714,1.1572107,-1.1971288,0.09351505
android.sensor.gyroscope,1539034577849,84760289549962,0.67411333,-1.3638426,0.007761266
android.sensor.gyroscope,1539034577869,84760309491210,0.328435,-1.0549159,0.10150454
