Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538957042394,7224815705419,-3.319497,3.3338673,-8.818462
android.sensor.accelerometer,1538957042404,7224835644235,-3.5254688,3.530259,-9.77168
android.sensor.accelerometer,1538957042416,7224855583179,-3.4584084,3.4057178,-9.7142
android.sensor.accelerometer,1538957042435,7224875521995,-2.8261232,3.3386574,-9.867481
android.sensor.accelerometer,1538957042456,7224895460811,-2.2273684,3.175796,-9.718989
android.sensor.accelerometer,1538957042477,7224915400897,-1.8776954,3.0991554,-9.412427
android.sensor.accelerometer,1538957042497,7224935339841,-1.705254,3.1039455,-9.105865
android.sensor.accelerometer,1538957042518,7224955278657,-1.5232325,3.0943654,-8.928633
android.sensor.accelerometer,1538957042538,7224975217601,-1.5088624,3.1470559,-9.129815
android.sensor.accelerometer,1538957042558,7224995156417,-1.8681153,3.2093263,-9.307046
android.sensor.accelerometer,1538957042577,7225015097732,-2.0022364,3.3242872,-9.378897
android.sensor.accelerometer,1538957042597,7225035036804,-2.1076174,3.4344583,-9.546548
android.sensor.accelerometer,1538957042617,7225054975748,-1.8920655,3.5685792,-9.378897
android.sensor.accelerometer,1538957042637,7225074914820,-1.705254,3.6164796,-9.053174
android.sensor.accelerometer,1538957042658,7225094853764,-1.4944923,3.9613624,-8.890313
android.sensor.accelerometer,1538957042677,7225114778055,-1.101709,4.4547367,-7.3383403
android.sensor.accelerometer,1538957042697,7225134716743,-0.91010743,4.4116263,-5.7767873
android.sensor.accelerometer,1538957042717,7225154655303,-0.028740235,4.4547367,-5.9252787
android.sensor.accelerometer,1538957042737,7225174593991,0.25387207,4.4259963,-6.825806
android.sensor.accelerometer,1538957042757,7225194532551,0.23950197,4.493057,-7.237749
android.sensor.accelerometer,1538957042777,7225214464845,0.13891114,4.5074267,-6.586304
android.sensor.accelerometer,1538957042796,7225234403277,-0.16286133,4.3062453,-6.6581545
android.sensor.accelerometer,1538957042816,7225254341837,-0.86220706,3.6260598,-7.1323686
android.sensor.accelerometer,1538957042836,7225274280269,-0.30177248,2.5004005,-7.7502837
android.sensor.accelerometer,1538957042858,7225294218829,0.9244776,0.9915381,-9.383687
android.sensor.accelerometer,1538957042876,7225314154420,2.8836036,-0.5460645,-10.413546
android.sensor.accelerometer,1538957042896,7225334092852,5.3169436,-1.954336,-11.524835
android.sensor.accelerometer,1538957042916,7225354031284,7.568262,-3.1997461,-12.794195
android.sensor.accelerometer,1538957042936,7225373969716,9.283096,-4.277505,-13.651612
android.sensor.accelerometer,1538957042956,7225393908148,9.244776,-5.6666164,-13.220509
android.sensor.accelerometer,1538957042976,7225413848133,8.349038,-7.8556643,-12.832515
android.sensor.accelerometer,1538957042995,7225433786565,7.812554,-10.744058,-14.221626
android.sensor.accelerometer,1538957043015,7225453725125,7.563472,-12.439732,-16.511265
android.sensor.accelerometer,1538957043035,7225473663557,7.213799,-13.723462,-18.034498
android.sensor.accelerometer,1538957043055,7225493602117,7.8700347,-15.021564,-20.76482
android.sensor.accelerometer,1538957043075,7225513536294,7.783814,-16.846567,-22.905968
android.sensor.accelerometer,1538957043095,7225533474598,6.471343,-19.964884,-22.541925
android.sensor.accelerometer,1538957043115,7225553413030,4.5649076,-23.13589,-22.465284
android.sensor.accelerometer,1538957043135,7225573351334,1.3603711,-25.449478,-23.27959
android.sensor.accelerometer,1538957043155,7225593289766,-1.0202783,-27.734327,-22.02939
android.sensor.accelerometer,1538957043175,7225613222432,-2.088457,-30.210777,-19.51941
android.sensor.accelerometer,1538957043195,7225633160736,-3.7266505,-33.846416,-13.809683
android.sensor.accelerometer,1538957043215,7225653099040,-6.5240335,-38.042492,-8.56459
android.sensor.accelerometer,1538957043235,7225673037216,-10.3512745,-41.687714,-4.0427933
android.sensor.accelerometer,1538957043254,7225692975520,-13.479171,-42.96186,1.0633887
android.sensor.accelerometer,1538957043274,7225712915512,-13.167818,-42.96186,5.824688
android.sensor.accelerometer,1538957043295,7225732853816,-8.5502205,-44.853928,8.818462
android.sensor.accelerometer,1538957043315,7225752792120,-6.8114357,-46.563972,11.706856
android.sensor.accelerometer,1538957043335,7225772730424,-9.4507475,-46.34363,13.445641
android.sensor.accelerometer,1538957043355,7225792668728,-11.831397,-46.51607,10.250684
android.sensor.accelerometer,1538957043377,7225812612071,-15.644268,-45.701763,12.329561
android.sensor.accelerometer,1538957043395,7225832550375,-16.779507,-39.541775,21.569548
android.sensor.accelerometer,1538957043414,7225852488679,-11.601475,-32.94589,35.5373
android.sensor.accelerometer,1538957043434,7225872426983,-10.724898,-24.084318,43.321114
android.sensor.accelerometer,1538957043454,7225892365415,-15.117364,-18.513502,35.4415
android.sensor.accelerometer,1538957043474,7225912300421,-10.729688,-17.651295,27.125992
android.sensor.accelerometer,1538957043494,7225932238725,-6.840176,-16.95674,22.01981
android.sensor.accelerometer,1538957043514,7225952176901,-5.2834134,-15.682589,18.695522
android.sensor.accelerometer,1538957043534,7225972115205,-3.5781593,-14.331798,17.526754
android.sensor.accelerometer,1538957043554,7225992053381,-3.1949563,-12.444522,17.541124
android.sensor.accelerometer,1538957043574,7226011991697,-3.7697608,-10.720108,16.99985
android.sensor.accelerometer,1538957043594,7226031929873,-3.5685792,-9.867481,16.075373
android.sensor.accelerometer,1538957043614,7226051868177,-3.166216,-9.005274,14.470709
android.sensor.accelerometer,1538957043634,7226071806353,-2.8788135,-8.57896,11.481724
android.sensor.accelerometer,1538957043654,7226091744947,-2.572251,-7.941885,8.032896
android.sensor.accelerometer,1538957043674,7226111687821,-2.5195606,-7.9227247,5.8917484
android.sensor.accelerometer,1538957043694,7226131626125,-3.0752053,-7.414981,4.3397756
android.sensor.accelerometer,1538957043713,7226151564557,-3.66438,-6.2989016,2.9219239
android.sensor.accelerometer,1538957043733,7226171502861,-3.6021094,-6.11209,2.6249416
android.sensor.accelerometer,1538957043753,7226191441165,-3.5254688,-5.992339,2.8788135
android.sensor.accelerometer,1538957043773,7226211377628,-3.8128712,-5.513335,3.3865578
android.sensor.accelerometer,1538957043793,7226231315932,-3.9709425,-5.120552,4.373306
android.sensor.accelerometer,1538957043813,7226251254108,-3.5781593,-5.149292,5.1540823
android.sensor.accelerometer,1538957043833,7226271192412,-3.5637891,-5.130132,5.6857767
android.sensor.accelerometer,1538957043853,7226291130588,-4.311035,-5.144502,5.958809
android.sensor.accelerometer,1538957043873,7226311080954,-4.7948294,-4.996011,5.9540186
android.sensor.accelerometer,1538957043893,7226331019386,-4.521797,-5.0534916,6.1887307
android.sensor.accelerometer,1538957043913,7226350957946,-4.387676,-5.2977834,6.6821046
