Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538957023165,7205595022393,-1.0707828,0.43860254,0.09285268
android.sensor.gyroscope,1538957023182,7205614960185,-0.9583974,0.30810764,0.12853904
android.sensor.gyroscope,1538957023196,7205634897867,-0.87690467,0.15843798,0.14451802
android.sensor.gyroscope,1538957023215,7205654835659,-0.79328144,0.034334674,0.1610296
android.sensor.gyroscope,1538957023236,7205674773323,-0.69421184,0.09718527,0.18340017
android.sensor.gyroscope,1538957023256,7205694711115,-0.55892324,0.18613486,0.19937913
android.sensor.gyroscope,1538957023276,7205714648907,-0.3959378,0.2516486,0.16049698
android.sensor.gyroscope,1538957023297,7205734595366,-0.23028918,0.23566966,0.080069505
android.sensor.gyroscope,1538957023317,7205754533286,-0.14187223,0.10730529,0.017218906
android.sensor.gyroscope,1538957023337,7205774471334,0.008862695,0.039660994,-0.001955854
android.sensor.gyroscope,1538957023357,7205794409254,0.21019767,-0.0072106416,0.023610493
android.sensor.gyroscope,1538957023376,7205814347174,0.2650588,-0.074322306,0.045981046
android.sensor.gyroscope,1538957023396,7205834289335,0.22138296,-0.14622766,0.052905265
android.sensor.gyroscope,1538957023416,7205854227383,0.18090291,-0.16486979,0.012425216
android.sensor.gyroscope,1538957023436,7205874165431,0.17025027,-0.12119394,-0.044566434
android.sensor.gyroscope,1538957023456,7205894103351,0.1974145,-0.09935602,-0.061610665
android.sensor.gyroscope,1538957023475,7205914041399,0.20593663,-0.13237922,-0.03657695
android.sensor.gyroscope,1538957023496,7205933983250,0.2139261,-0.20055614,0.0055009974
android.sensor.gyroscope,1538957023516,7205953924353,0.34229046,-0.26553726,0.074210554
android.sensor.gyroscope,1538957023537,7205973862401,0.49888435,-0.27991834,0.15570329
android.sensor.gyroscope,1538957023556,7205993800577,0.63257504,-0.23091617,0.22654338
android.sensor.gyroscope,1538957023576,7206013738625,0.9201965,-0.12598763,0.33040664
android.sensor.gyroscope,1538957023595,7206033686986,1.510353,0.16003588,0.4651626
android.sensor.gyroscope,1538957023615,7206053625418,2.4046423,0.56856483,0.603647
android.sensor.gyroscope,1538957023635,7206073563722,3.1657739,0.95206004,0.70697767
android.sensor.gyroscope,1538957023655,7206093502026,3.4699068,1.2892162,0.8140367
android.sensor.gyroscope,1538957023677,7206113440330,3.6623127,1.5927715,1.0658926
android.sensor.gyroscope,1538957023695,7206133386423,3.790677,1.858555,1.4728236
android.sensor.gyroscope,1538957023714,7206153324983,3.6367464,1.9325908,1.9553884
android.sensor.gyroscope,1538957023736,7206173263543,3.272426,1.5208662,2.3436775
android.sensor.gyroscope,1538957023756,7206193202103,2.7259452,0.8050085,2.3159804
android.sensor.gyroscope,1538957023775,7206213140791,2.2678816,0.4172522,1.7801524
